Taxa	GO	Description	cooccurrence_Non-HIV	cooccurrence_Pre-HIV	cor_Non-HIV	cor_Pre-HIV	diff_cor	p	sign	Ontology	Definition
s__Schaalia_odontolytica	GO:0004673	protein histidine kinase activity	139	77	0.321	-0.239	0.56	6.51923140193578e-05	Non-HIV+	MF	Catalysis of the reaction: ATP + protein L-histidine = ADP + protein phospho-L-histidine.
s__Roseburia_inulinivorans	GO:0016765	transferase activity, transferring alkyl or aryl (other than methyl) groups	150	82	-0.088	-0.568	0.48	6.74598960646033e-05	Pre-HIV-	MF	Catalysis of the transfer of an alkyl or aryl (but not methyl) group from one compound (donor) to another (acceptor).
s__Oscillibacter_sp._ER4	GO:0016987	bacterial sigma factor activity	147	82	-0.044	0.472	0.517	6.85440966856632e-05	Pre-HIV+	MF	A sigma factor is the promoter specificity subunit of eubacterial-type multisubunit RNA polymerases, those whose core subunit composition is often described as alpha(2)-beta-beta-prime. (This type of multisubunit RNA polymerase complex is known to be found in eubacteria and plant plastids). Although sigma does not bind DNA on its own, when combined with the core to form the holoenzyme, this binds specifically to promoter sequences, with the sigma factor making sequence specific contacts with the promoter elements. The sigma subunit is released from the elongating form of the polymerase and is thus free to act catalytically for multiple RNA polymerase core enzymes.
s__Dorea_ammoniilytica	GO:0005506	iron ion binding	150	80	0.118	0.591	0.472	6.90235648084236e-05	Pre-HIV+	MF	Interacting selectively and non-covalently with iron (Fe) ions.
s__Yeguia_hominis	GO:0022872	protein-N(PI)-phosphohistidine-mannitol phosphotransferase system transmembrane transporter activity	148	82	-0.141	-0.603	0.462	7.0723582181742e-05	Pre-HIV-	MF	Catalysis of the PEP-dependent, phosphoryl transfer-driven transport of substances across a membrane. The transport happens by catalysis of the reaction: protein N-phosphohistidine + mannitol(out) = protein histidine + mannitol phosphate(in). This differs from primary and secondary active transport in that the solute is modified during transport.
s__Dorea_sp._AF36_15AT	GO:0004867	serine-type endopeptidase inhibitor activity	150	80	-0.285	-0.691	0.407	7.40007789714614e-05	Pre-HIV-	MF	Stops, prevents or reduces the activity of serine-type endopeptidases, enzymes that catalyze the hydrolysis of nonterminal peptide bonds in a polypeptide chain; a serine residue (and a histidine residue) are at the active center of the enzyme.
s__Blautia_faecis	GO:0006812	cation transport	151	82	0.075	0.555	0.48	7.67686899516562e-05	Pre-HIV+	BP	The directed movement of cations, atoms or small molecules with a net positive charge, into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.
s__Anaerostipes_hadrus	GO:0004450	isocitrate dehydrogenase (NADP+) activity	151	82	0.363	-0.168	0.531	8.00873559980708e-05	Non-HIV+	MF	Catalysis of the reaction: isocitrate + NADP+ = 2-oxoglutarate + CO2 + NADPH + H+.
s__Phocea_massiliensis	GO:0003941	L-serine ammonia-lyase activity	149	82	-0.226	-0.653	0.427	8.0753499625219e-05	Pre-HIV-	MF	Catalysis of the reaction: L-serine = pyruvate + NH3.
s__Dorea_sp._OM07_5	GO:0003937	IMP cyclohydrolase activity	139	78	0.037	0.54	0.503	8.14008732918925e-05	Pre-HIV+	MF	Catalysis of the reaction: IMP + H2O = 5-formamido-1-(5-phosphoribosyl)imidazole-4-carboxamide.
s__Dorea_sp._AM58_8	GO:0008234	cysteine-type peptidase activity	151	82	-0.147	-0.602	0.456	8.14955151597907e-05	Pre-HIV-	MF	Catalysis of the hydrolysis of peptide bonds in a polypeptide chain by a mechanism in which the sulfhydryl group of a cysteine residue at the active center acts as a nucleophile.
s__Oscillibacter_sp._MCC667	GO:0008725	DNA-3-methyladenine glycosylase activity	150	81	0.204	-0.331	0.535	8.48061026854641e-05	Pre-HIV-	MF	Catalysis of the reaction: DNA containing 3-methyladenine + H2O = DNA with abasic site + 3-methyladenine. This reaction is the hydrolysis of DNA by cleavage of the N-C1' glycosidic bond between the damaged DNA 3-methyladenine and the deoxyribose sugar to remove the 3-methyladenine, leaving an abasic site.
s__Vescimonas_coprocola	GO:0004151	dihydroorotase activity	150	82	-0.25	-0.666	0.416	8.62222944855162e-05	Pre-HIV-	MF	Catalysis of the reaction: (S)-dihydroorotate + H(2)O = N-carbamoyl-L-aspartate + H(+).
s__Adlercreutzia_equolifaciens	GO:0002949	tRNA threonylcarbamoyladenosine modification	149	82	-0.167	0.362	0.529	8.70381731528092e-05	Pre-HIV+	BP	The attachment of a carbonyl group and a threonine to the amino group of the adenine residue immediately 3' of the anticodon, in tRNAs that decode ANN codons (where N is any base).
s__Catenibacterium_mitsuokai	GO:0016407	acetyltransferase activity	139	79	-0.119	0.416	0.534	8.73313471780879e-05	Pre-HIV+	MF	Catalysis of the transfer of an acetyl group to an acceptor molecule.
s__Blautia_obeum	GO:0004088	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity	151	82	0.037	0.525	0.488	8.90255222942837e-05	Pre-HIV+	MF	Catalysis of the reaction: 2 ATP + L-glutamine + CO2 + H2O = 2 ADP + phosphate + glutamate + carbamoyl phosphate.
s__Roseburia_inulinivorans	GO:0016891	endoribonuclease activity, producing 5'-phosphomonoesters	150	82	0.204	0.637	0.433	8.9394172499091e-05	Pre-HIV+	MF	Catalysis of the hydrolysis of ester linkages within ribonucleic acids by creating internal breaks to yield 5'-phosphomonoesters.
s__Dorea_sp._AM58_8	GO:0015693	magnesium ion transport	151	82	-0.049	0.46	0.509	8.94025206938931e-05	Pre-HIV+	BP	The directed movement of magnesium (Mg) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.
s__Senegalimassilia_anaerobia	GO:0009424	bacterial-type flagellum hook	145	80	-0.089	-0.567	0.478	9.01848196608324e-05	Pre-HIV-	CC	The portion of the bacterial-type flagellum that connects the filament to the basal body.
s__Catenibacterium_mitsuokai	GO:0015075	ion transmembrane transporter activity	138	79	0.238	-0.309	0.546	9.12155246455271e-05	Pre-HIV-	MF	Enables the transfer of an ion from one side of a membrane to the other.
s__Faecalibacillus_intestinalis	GO:0004333	fumarate hydratase activity	148	81	-0.334	0.199	0.533	9.18046911904113e-05	Non-HIV-	MF	Catalysis of the reaction: (S)-malate = fumarate + H(2)O.
s__Oscillibacter_sp._MCC667	GO:0004151	dihydroorotase activity	150	81	-0.353	-0.724	0.371	9.19502076044409e-05	Pre-HIV-	MF	Catalysis of the reaction: (S)-dihydroorotate + H(2)O = N-carbamoyl-L-aspartate + H(+).
s__Blautia_faecis	GO:0016151	nickel cation binding	151	82	0.015	0.508	0.493	9.23399485310838e-05	Pre-HIV+	MF	Interacting selectively and non-covalently with nickel (Ni) cations.
s__Holdemanella_biformis	GO:0008609	alkylglycerone-phosphate synthase activity	142	75	-0.077	-0.568	0.491	9.31301686897257e-05	Pre-HIV-	MF	Catalysis of the reaction: 1-acyl-glycerone 3-phosphate + a long-chain alcohol = 1-alkyl-glycerone 3-phosphate + a long-chain acid anion.
s__Faecalibacterium_prausnitzii	GO:0019856	pyrimidine nucleobase biosynthetic process	151	82	0.248	0.663	0.415	9.38024586361053e-05	Pre-HIV+	BP	The chemical reactions and pathways resulting in the formation of pyrimidine nucleobases, 1,3-diazine, organic nitrogenous bases.
s__Faecalibacterium_sp._AF27_11BH	GO:0006725	cellular aromatic compound metabolic process	148	80	-0.356	0.174	0.53	0.000100713508860206	Non-HIV-	BP	The chemical reactions and pathways involving aromatic compounds, any organic compound characterized by one or more planar rings, each of which contains conjugated double bonds and delocalized pi electrons, as carried out by individual cells.
s__Paratractidigestivibacter_faecalis	GO:0015803	branched-chain amino acid transport	131	74	0.537	0.025	0.512	0.00010220596478816	Non-HIV+	BP	The directed movement of branched-chain amino acids into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. Branched-chain amino acids are amino acids with a branched carbon skeleton without rings.
s__Simiaoa_sunii	GO:0009346	citrate lyase complex	148	81	-0.067	0.444	0.511	0.000106013251746306	Pre-HIV+	CC	Citrate lyase is a multienzyme complex with three constituents: the alpha subunit, citrate-ACP transferase; the beta subunit, citryl-ACP lyase; and the gamma subunit, an acyl-carrier protein which also carries the prosthetic group components. All three subunits are required for citrate lyase enzyme activity.
s__Vescimonas_coprocola	GO:0005576	extracellular region	150	82	0.067	0.541	0.474	0.000111621101369197	Pre-HIV+	CC	The space external to the outermost structure of a cell. For cells without external protective or external encapsulating structures this refers to space outside of the plasma membrane. This term covers the host cell environment outside an intracellular parasite.
s__Dorea_sp._AM58_8	GO:0004045	aminoacyl-tRNA hydrolase activity	151	82	-0.094	0.417	0.511	0.000111784318858055	Pre-HIV+	MF	Catalysis of the reaction: N-substituted aminoacyl-tRNA + H2O = N-substituted amino acid + tRNA.
s__Dorea_ammoniilytica	GO:0015095	magnesium ion transmembrane transporter activity	150	80	-0.012	0.486	0.498	0.000112533933176007	Pre-HIV+	MF	Enables the transfer of magnesium (Mg) ions from one side of a membrane to the other.
s__Oribacterium_sp._oral_taxon_102	GO:0006542	glutamine biosynthetic process	145	80	0.002	-0.495	0.497	0.000118940907458009	Pre-HIV-	BP	The chemical reactions and pathways resulting in the formation of glutamine, 2-amino-4-carbamoylbutanoic acid.
s__Blautia_faecis	GO:0043822	ribonuclease M5 activity	151	82	-0.379	0.136	0.515	0.000119406132776279	Non-HIV-	MF	Catalysis of the endonucleolytic cleavage of RNA, removing 21 and 42 nucleotides, respectively, from the 5'- and 3'-termini of a 5S-rRNA precursor.
s__Simiaoa_sunii	GO:0008814	citrate CoA-transferase activity	148	81	-0.073	0.436	0.509	0.000119915268213866	Pre-HIV+	MF	Catalysis of the reaction: acetyl-CoA + citrate = acetate + (3S)-citryl-CoA.
s__Catenibacterium_mitsuokai	GO:0043743	LPPG:FO 2-phospho-L-lactate transferase activity	139	79	0.317	-0.218	0.536	0.000121211571933344	Non-HIV+	MF	Catalysis of the reaction: 7,8-didemethyl-8-hydroxy-5-deazariboflavin + lactyl-2-diphospho-5'-guanosine = coenzyme F420-0 + GMP.
s__Blautia_obeum	GO:0006542	glutamine biosynthetic process	151	82	0.026	0.509	0.483	0.000122378878497198	Pre-HIV+	BP	The chemical reactions and pathways resulting in the formation of glutamine, 2-amino-4-carbamoylbutanoic acid.
s__Senegalimassilia_faecalis	GO:0008759	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity	132	72	0.069	-0.464	0.533	0.000126619421158214	Pre-HIV-	MF	Catalysis of the removal of an acetyl group from the 2-N position of glucosamine in the lipid A precursor UDP-3-O-(R-3-hydroxymyristoyl)-N-acetylglucosamine.
s__Faecalibacterium_sp._AF27_11BH	GO:0008198	ferrous iron binding	143	79	-0.315	0.216	0.531	0.00012746203394931	Non-HIV-	MF	Interacting selectively and non-covalently with ferrous iron, Fe(II).
s__Oscillibacter_sp._ER4	GO:0003998	acylphosphatase activity	147	82	-0.366	-0.726	0.36	0.000128430935502299	Pre-HIV-	MF	Catalysis of the reaction: an acyl phosphate + H2O = a carboxylate + phosphate.
s__Coprococcus_catus	GO:0006425	glutaminyl-tRNA aminoacylation	151	82	0.192	-0.327	0.519	0.000128774401324527	Pre-HIV-	BP	The process of coupling glutamine to glutaminyl-tRNA, catalyzed by glutaminyl-tRNA synthetase. The glutaminyl-tRNA synthetase is a  class-I synthetase. The activated amino acid is transferred to the 2'-OH group of a glutamine-accetping tRNA. The 2'-O-aminoacyl-tRNA will ultimately migrate to the 3' position via transesterification.
s__Coprococcus_catus	GO:0004819	glutamine-tRNA ligase activity	151	82	0.192	-0.327	0.519	0.000128774401324749	Pre-HIV-	MF	Catalysis of the reaction: ATP + L-glutamine + tRNA(Gln) = AMP + diphosphate + L-glutaminyl-tRNA(Gln).
s__Oscillibacter_sp._ER4	GO:0033739	preQ1 synthase activity	147	82	-0.065	0.438	0.503	0.000132078760527454	Pre-HIV+	MF	Catalysis of the reaction: 7-aminomethyl-7-deazaguanine + 2 NADP(+) = 7-cyano-7-deazaguanine + 3 H(+) + 2 NADPH.
s__Roseburia_inulinivorans	GO:0003700	DNA binding transcription factor activity	150	82	0.178	0.612	0.434	0.000136281373834812	Pre-HIV+	MF	Interacting selectively and non-covalently with a specific DNA sequence (sometimes referred to as a motif) within the regulatory region of a gene in order to modulate transcription.
s__Faecalibacterium_prausnitzii	GO:0042823	pyridoxal phosphate biosynthetic process	151	82	0.164	-0.349	0.513	0.000141246196607936	Pre-HIV-	BP	The chemical reactions and pathways resulting in the formation of pyridoxal phosphate, pyridoxal phosphorylated at the hydroxymethyl group of C-5, the active form of vitamin B6.
s__Dorea_sp._AF36_15AT	GO:0008233	peptidase activity	150	80	-0.109	-0.568	0.459	0.000144200743072309	Pre-HIV-	MF	Catalysis of the hydrolysis of a peptide bond. A peptide bond is a covalent bond formed when the carbon atom from the carboxyl group of one amino acid shares electrons with the nitrogen atom from the amino group of a second amino acid.
s__Holdemanella_sp._MSK_7_32	GO:0018339	peptidyl-L-beta-methylthioaspartic acid biosynthetic process from peptidyl-aspartic acid	137	81	-0.024	-0.512	0.488	0.000145463313227845	Pre-HIV-	BP	The modification of peptidyl-aspartic acid to form peptidyl-L-beta-methylthioaspartic acid, typical of bacterial ribosomal protein S12.
s__Klebsiella_pneumoniae	GO:0006801	superoxide metabolic process	151	80	0.038	0.516	0.478	0.000148592412697823	Pre-HIV+	BP	The chemical reactions and pathways involving superoxide, the superoxide anion O2- (superoxide free radical), or any compound containing this species.
s__Faecalibacterium_prausnitzii	GO:0042819	vitamin B6 biosynthetic process	151	82	0.164	-0.348	0.512	0.000149568023811497	Pre-HIV-	BP	The chemical reactions and pathways resulting in the formation of any of the vitamin B6 compounds; pyridoxal, pyridoxamine and pyridoxine and the active form, pyridoxal phosphate.
s__Blautia_obeum	GO:0047343	glucose-1-phosphate cytidylyltransferase activity	151	82	0.151	-0.359	0.51	0.000151472903573646	Pre-HIV-	MF	Catalysis of the reaction: alpha-D-glucose 1-phosphate + CTP = CDP-D-glucose + diphosphate.
s__Adlercreutzia_equolifaciens	GO:0033739	preQ1 synthase activity	149	82	0.092	-0.411	0.503	0.000153179357379685	Pre-HIV-	MF	Catalysis of the reaction: 7-aminomethyl-7-deazaguanine + 2 NADP(+) = 7-cyano-7-deazaguanine + 3 H(+) + 2 NADPH.
s__Suilimivivens_aceti	GO:0009396	folic acid-containing compound biosynthetic process	150	82	-0.223	-0.637	0.414	0.000158503031130408	Pre-HIV-	BP	The chemical reactions and pathways resulting in the formation of folic acid and its derivatives.
s__Dorea_sp._AM58_8	GO:0005506	iron ion binding	151	82	0.151	0.59	0.44	0.000159085822492022	Pre-HIV+	MF	Interacting selectively and non-covalently with iron (Fe) ions.
s__Anthropogastromicrobium_aceti	GO:0008811	chloramphenicol O-acetyltransferase activity	150	82	-0.339	0.172	0.511	0.000159330153377102	Non-HIV-	MF	Catalysis of the reaction: chloramphenicol + acetyl-CoA = chloramphenicol 3-acetate + CoA.
s__Catenibacterium_mitsuokai	GO:0098662	inorganic cation transmembrane transport	138	78	0.383	-0.139	0.521	0.000164223083641613	Non-HIV+	BP	A process in which an inorganic cation is transported from one side of a membrane to the other by means of some agent such as a transporter or pore.
s__Dorea_sp._AM58_8	GO:0004181	metallocarboxypeptidase activity	151	82	-0.122	0.382	0.503	0.000168211993498479	Pre-HIV+	MF	Catalysis of the hydrolysis of C-terminal amino acid residues from a polypeptide chain by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions.
s__Dorea_sp._AM58_8	GO:0016831	carboxy-lyase activity	151	82	0.066	-0.428	0.494	0.000172689368851175	Pre-HIV-	MF	Catalysis of the nonhydrolytic addition or removal of a carboxyl group to or from a compound.
s__Blautia_obeum	GO:0004641	phosphoribosylformylglycinamidine cyclo-ligase activity	151	82	0.059	0.525	0.465	0.000173213817881823	Pre-HIV+	MF	Catalysis of the reaction: 2-(formamido)-N(1)-(5-phospho-D-ribosyl)acetamidine + ATP = 5-amino-1-(5-phospho-D-ribosyl)imidazole + ADP + 2 H(+) + phosphate.
