,species_SC,go_SC,mtb_SC,plasma_mtb_SC
s__Ruminococcus_sp._NSJ_71,0.123,0.332,0.069,0.571
s__Ruthenibacterium_lactatiformans,1,0.638,0.397,0.869
s__Butyrivibrio_crossotus,1,0.483,0.612,0.068
s__Flavonifractor_plautii,1,0.565,1,0.581
s__Prevotellamassilia_timonensis,1,0.05,0.39,0.038
s__Roseburia_sp._BX1005,0.104,0.372,0.918,0.214
s__Olsenella_uli,1,0.306,0.099,0.77
s__Gallintestinimicrobium_propionicum,0.381,0.786,0.264,0.217
s__Roseburia_hominis,1,0.426,0.326,0.564
s__Ruminococcus_sp._BSD2780120874_150323_B10,0.269,0.358,1,1
s__Vescimonas_fastidiosa,0.009,0.005,0.953,0.848
s__Faecalicatena_fissicatena,1,0.506,0.751,0.757
s__Simiaoa_sunii,0.002,0.016,0.138,0.429
s__Ruminococcus_sp._FMBCY1,1,0.134,0.678,1
s__Collinsella_sp._AM34_10,0.322,0.365,0.146,0.675
s__Senegalimassilia_faecalis,1,0.019,0.129,0.27
s__Mediterraneibacter_sp._NSJ_151,1,0.493,0.707,0.448
s__Agathobaculum_butyriciproducens,0.303,0.417,0.806,0.628
s__Anaerotardibacter_sp._CLA_AA_M13,0.058,0.106,0.005,0.031
s__Phascolarctobacterium_sp._Marseille_Q4147,0.082,0.01,0.391,0.314
s__Eggerthella_lenta,0.1,0.042,0.013,0.04
s__Eubacterium_ventriosum,0.287,0.689,0.922,1
s__Alistipes_putredinis,0.251,0.25,0.453,0.712
s__Absicoccus_porci,1,0.135,1,1
s__Oscillibacter_sp._MSJ_31,0.048,0.06,0.584,0.713
s__Bacteroides_caccae,1,0.155,1,0.702
s__Intestinibacter_bartlettii,1,0.516,0.76,0.028
s__Bacteroides_ovatus,0.334,0.157,0.046,0.362
s__Blautia_schinkii,0.095,0.209,0.2,0.753
s__Faecalibacillus_intestinalis,0.091,0.519,0.368,0.294
s__Holdemanella_sp._MSK_7_32,0.018,0.119,0.068,0.655
s__Pseudoflavonifractor_sp._MSJ_30,0.054,0.145,0.75,1
s__Blautia_sp._MSK_20_85,1,0.571,0.918,0.095
s__Bacteroides_fragilis,0.033,0.231,0.334,0.175
s__Ruminococcus_sp._AF37_3AC,0.173,1,0.298,1
s__Blautia_sp._MCC270,1,0.191,0.153,0.762
s__Klebsiella_pneumoniae,0.135,0.146,0.189,0.16
s__Parabacteroides_merdae,0.038,0.718,0.854,0.17
s__Brachyspira_aalborgi,1,1,1,1
s__Roseburia_sp._CLA_AA_H209,0.306,0.529,0.381,0.027
s__Desulfovibrio_piger,0.277,0.592,0.651,1
s__Bacteroides_stercoris,0.151,0.428,0.089,0.056
s__Blautia_sp._OF03_15BH,0.132,0.095,0.251,0.518
s__Kineothrix_sp._MSJ_39,0.315,0.763,0.699,0.742
s__Ruminococcus_sp._Marseille_P6503,0.058,0.28,0.078,0.406
s__Ruminococcus_sp._M6_2020,1,0.075,0.661,0.868
s__Blautia_sp._MSK20_18,1,0.783,0.173,0.774
s__Blautia_sp._MCC283,1,1,0.913,0.127
s__Collinsella_sp._TF05_9AC,0.098,0.005,0.815,1
s__Mitsuokella_jalaludinii,0.012,0.263,0.103,0.152
s__Pseudoflavonifractor_phocaeensis,1,0.752,0.675,0.74
s__Faecalibacterium_sp._Marseille_Q4896,0.379,0.583,0.673,1
s__Brotomerdimonas_butyrica,0.412,0.463,0.462,0.821
s__Clostridium_sp._1001271B_151109_B4,1,0.505,0.511,0.703
s__Adlercreutzia_equolifaciens,0.195,0.01,0.697,0.136
s__Methanosphaera_stadtmanae,1,1,1,1
s__Blautia_sp._MSJ_36,1,0.218,0.722,0.133
s__Bacteroides_thetaiotaomicron,0.044,0.189,0.033,0.125
s__Blautia_sp._Marseille_P3087,0.034,0.038,0.536,0.059
s__Megasphaera_elsdenii,0.067,0.027,0.145,1
s__Ruminococcus_sp._210702_SL_1_03,0.07,0.032,0.473,0.748
s__Parabacteroides_distasonis,1,0.284,0.499,0.298
s__Clostridium_sp._BIOML_A1,0.018,0.208,0.055,0.498
s__Fusicatenibacter_sp._CLA_AA_H277,1,0.63,0.15,0.304
s__Faecalibacillus_faecis,0.312,0.464,0.628,0.596
s__Anaeromassilibacillus_sp._An200,1,1,0.594,0.47
s__Blautia_hansenii,0.334,0.652,0.063,1
s__Bifidobacterium_pseudocatenulatum,1,0.624,1,0.3
s__Dorea_sp._AF36_15AT,0.19,0.001,0.734,1
s__Paraprevotella_clara,1,1,1,0.32
s__Phocaeicola_massiliensis,1,0.262,0.245,0.398
s__Blautia_sp._MSJ_19,0.301,0.099,0.917,0.187
s__Clostridium_saudiense,1,0.222,0.399,0.314
s__Roseburia_sp._CLA_AA_H204,1,0.475,0.125,0.581
s__Clostridium_sp._D43t1_170807_D5,1,0.293,1,1
s__Faecalibacterium_sp._CLA_AA_H233,1,0.144,0.449,0.474
s__Bacteroides_xylanisolvens,0.081,0.05,0.588,0.135
s__Waltera_intestinalis,0.06,0.415,0.477,0.636
s__Faecalibacterium_sp._I3389,0.423,0.28,0.185,0.756
s__Oscillibacter_sp._MCC667,0.007,0.021,0.03,1
s__Dorea_sp._AM58_8,0.209,0.017,0.051,1
s__Eubacterium_sp._AF22_8LB,0.247,1,0.696,0.748
s__Faecalibacterium_sp._AF27_11BH,1,0.529,0.77,0.769
s__Porcipelethomonas_ammoniilytica,0.315,0.339,0.409,0.668
s__Solobacterium_moorei,1,1,0.686,0.271
s__Succinivibrio_dextrinosolvens,1,1,1,1
s__Streptococcus_salivarius,1,0.272,0.243,0.581
s__Dorea_phocaeensis,1,0.614,0.917,0.753
s__Butyricicoccus_faecihominis,1,1,1,0.761
s__Prevotella_sp._Marseille_P4119,0.02,0.008,0.293,0.154
s__Clostridium_sp._D43t1_170807_H7,1,0.321,1,0.446
s__Clostridium_sp._AF15_31,1,1,0.203,1
s__Butyricicoccus_sp._BIOML_A1,1,0.535,1,0.756
s__Brotolimicola_acetigignens,0.364,0.758,0.91,0.645
s__Chuhaivirus_simiae,1,1,1,1
s__Waltera_sp._CLA_AA_H273,0.025,0.245,0.733,0.302
s__Prevotella_pectinovora,1,0.105,0.172,1
s__Clostridium_perfringens,1,0.378,0.458,0.876
s__Yeguia_hominis,0.096,0.174,0.039,0.616
s__Alistipes_shahii,1,1,1,1
s__Roseburia_porci,0.03,0.343,0.058,0.385
s__Mediterraneibacter_glycyrrhizinilyticus,1,0.07,0.148,0.848
s__Faecalibacillus_sp._MSK20_93,1,0.123,0.389,1
s__Phascolarctobacterium_faecium,0.196,0.111,0.384,1
s__Alistipes_onderdonkii,1,0.421,0.469,0.433
s__Schaalia_turicensis,1,1,1,1
s__Clostridium_spiroforme,1,0.6,1,0.462
s__Intestinimonas_massiliensis,0.089,0.412,0.173,0.402
s__Clostridium_sp._AF36_4,1,1,0.203,0.715
s__Dysosmobacter_sp._BX15,0.224,0.073,0.311,0.838
s__Clostridium_sp._L2_50,1,0.368,0.304,0.244
s__Clostridium_sp._AF37_5,1,0.627,0.493,0.67
s__Negativibacillus_massiliensis,0.038,0.117,0.643,0.54
s__Intestinimonas_butyriciproducens,0.072,0.515,0.218,1
s__Anaerotignum_faecicola,1,0.24,1,0.838
s__Clostridium_sp._AF15_41,0.169,1,0.751,1
s__Clostridium_sp._1001270H_150608_G6,1,1,1,0.211
s__Clostridium_sp._AM42_36,1,1,0.002,0.432
s__Clostridium_sp._AM49_4BH,0.133,0.461,0.702,0.712
s__Burzaovirus_coli,1,1,1,1
s__Blautia_ammoniilytica,1,0.044,0.801,0.099
s__Barnesiella_intestinihominis,0.208,0.024,0.64,1
s__Collinsella_tanakaei,1,0.748,0.739,0.5
s__Phocea_massiliensis,0.414,0.04,0.615,0.758
s__Intestinimonas_sp._MSJ_38,0.015,0.019,0.309,0.629
s__Clostridium_sp._1001270J_160509_D11,1,0.523,0.517,0.085
s__Dysosmobacter_welbionis,1,0.813,0.56,0.863
s__Ruminococcus_champanellensis,1,0.448,0.102,0.58
s__Suilimivivens_aceti,0.065,0.041,0.361,0.047
s__Pseudoflavonifractor_capillosus,1,0.663,0.684,1
s__Clostridium_sp._AF43_10,1,0.239,0.746,0.295
s__Faecalibacillus_sp._H12,1,1,1,0.409
s__Ruminococcus_sp._NSJ_13,1,0.426,0.189,1
s__Turicibacter_sanguinis,0.178,0.43,0.751,0.505
s__Jingyaoa_shaoxingensis,1,1,0.011,0.017
s__Dorea_ammoniilytica,0.2,0.018,0.911,0.614
s__Clostridium_sp._OM08_29,1,0.255,0.124,0.083
s__Terrisporobacter_mayombei,1,0.402,0.043,0.004
s__Succinivibrio_sp._AGMB01872,1,1,1,1
s__Clostridium_sp._AF23_8,0.201,0.431,0.077,1
s__Mediterraneibacter_butyricigenes,0.299,0.094,0.609,0.586
s__Oribacterium_sp._oral_taxon_102,0.316,0.073,0.032,0.339
s__Dorea_sp._AF24_7LB,0.022,0.202,0.08,0.103
s__Dorea_sp._OM07_5,0.149,0.255,0.109,0.555
s__Desulfovibrio_sp._An276,1,1,1,1
s__Alistipes_communis,1,0.309,0.649,1
s__Alistipes_indistinctus,1,1,1,1
s__Dorea_sp._AM10_31,0.36,0.378,0.415,0.102
s__Streptococcus_parasanguinis,1,0.64,0.729,1
s__Agathobaculum_sp._M2,1,1,1,0.744
s__Streptococcus_thermophilus,1,0.523,0.512,0.661
s__Alistipes_ihumii,0.168,1,0.723,1
s__Qingrenia_yutianensis,1,0.232,0.194,0.705
s__Parolsenella_massiliensis,1,0.169,0.521,1
s__Allisonella_histaminiformans,1,0.188,0.022,0.52
s__Dorea_sp._NSJ_36,0.018,0.219,0.519,1
s__Prevotella_sp._P4_67,0.054,1,1,1
s__Prevotella_sp._P5_64,0.052,0.005,1,0.248
s__Dorea_sp._AM13_35,1,0.142,0.08,0.56
s__Schaalia_odontolytica,1,0.625,0.659,0.717
s__Terrisporobacter_glycolicus,0.137,1,0.719,0.007
s__Prevotella_sp._P4_51,1,1,1,1
s__Prevotella_sp._P5_108,1,1,1,1
s__Bacteriophage_sp.,0.075,0.201,1,0.139
s__Phage_FAKO27_000271F,1,1,1,1
