,species_SC,go_SC,mtb_SC,plasma_mtb_SC
s__Eggerthella_lenta,1.32743362831858,2.2956326987682,1.5687081971961,0.967557363901332
s__Eubacterium_ventriosum,-0.442477876106195,0,0,-0.106609808102345
s__Alistipes_putredinis,-0.442477876106195,0.0559910414333706,0.23961661341853,0.106609808102345
s__Absicoccus_porci,0,-0.223964165733483,0,0
s__Oscillibacter_sp._MSJ_31,1.32743362831858,1.28779395296753,0.310438143163573,-0.114678899082569
s__Bacteroides_caccae,0.442477876106195,0.727883538633819,0.159744408945687,0.106609808102345
s__Intestinibacter_bartlettii,0,0.167973124300112,0.141643059490085,0.663866121554743
s__Bacteroides_ovatus,0.442477876106195,0.783874580067189,1.00213595923576,0.221288707184914
s__Blautia_schinkii,1.32743362831858,0.559910414333707,0.602774936871544,0.335967606267483
s__Faecalibacillus_intestinalis,-1.32743362831858,-0.279955207166853,0.230565938690729,0.213219616204691
s__Holdemanella_sp._MSK_7_32,3.98230088495575,1.3437849944009,0.833340875562273,0.114678899082569
s__Pseudoflavonifractor_sp._MSJ_30,0.884955752212389,0.671892497200448,0.00905067472780097,0
s__Blautia_sp._MSK_20_85,0,0.167973124300112,0.150693734217886,0.557256313452397
s__Bacteroides_fragilis,2.21238938053097,0.83986562150056,0.575622912688141,0.885154828739657
s__Ruminococcus_sp._AF37_3AC,0.442477876106195,0,0.150693734217886,0
s__Blautia_sp._MCC270,0.884955752212389,0.447928331466965,0.531953407126501,0.114678899082569
s__Klebsiella_pneumoniae,2.21238938053097,0.727883538633819,0.629926961054947,1.31159406114904
s__Parabacteroides_merdae,1.76991150442478,0.167973124300112,0.0798722044728434,0.573394495412844
s__Brachyspira_aalborgi,0,0,0,0
s__Roseburia_sp._CLA_AA_H209,0,0.335946248600224,0.381259672908615,0.762406838676865
s__Desulfovibrio_piger,0.442477876106195,-0.0559910414333706,0.132592384762284,0
s__Bacteroides_stercoris,0.884955752212389,0.223964165733483,0.381259672908615,0.770475929657088
s__Blautia_sp._OF03_15BH,0.442477876106195,1.23180291153415,0.399361022364217,0.229357798165138
s__Kineothrix_sp._MSJ_39,0.442477876106195,0.0559910414333707,0.150693734217886,0.114678899082569
s__Ruminococcus_sp._Marseille_P6503,0.442477876106195,0.279955207166853,1.19649919901529,0.32789851528726
s__Ruminococcus_sp._M6_2020,0.442477876106195,0.951847704367301,0.230565938690729,0.106609808102345
s__Blautia_sp._MSK20_18,0,0.0559910414333707,0.301387468435772,0.221288707184914
s__Blautia_sp._MCC283,0,0,0.0708215297450425,0.786614111617535
s__Collinsella_sp._TF05_9AC,1.32743362831858,3.07950727883539,0.230565938690729,0
s__Mitsuokella_jalaludinii,1.76991150442478,0.279955207166853,0.584673587415942,0.533049040511727
s__Pseudoflavonifractor_phocaeensis,0,0.223964165733483,0.132592384762284,0
s__Faecalibacterium_sp._Marseille_Q4896,-0.442477876106195,-0.167973124300112,0.230565938690729,0
s__Brotomerdimonas_butyrica,0,0.391937290033595,0.479233226837061,0
s__Clostridium_sp._1001271B_151109_B4,0,-0.0559910414333707,0.150693734217886,0.221288707184914
s__Adlercreutzia_equolifaciens,1.76991150442478,3.2474804031355,0.159744408945687,0.557256313452397
s__Methanosphaera_stadtmanae,0,0,0,0
s__Blautia_sp._MSJ_36,0,0.951847704367301,0.150693734217886,0.663866121554743
s__Bacteroides_thetaiotaomicron,2.21238938053097,1.00783874580067,1.11662699454244,0.786614111617535
s__Blautia_sp._Marseille_P3087,2.21238938053097,1.67973124300112,0.150693734217886,0.786614111617535
s__Megasphaera_elsdenii,0.442477876106195,1.00783874580067,0.292336793707971,0
s__Ruminococcus_sp._210702_SL_1_03,1.32743362831858,1.62374020156775,0.230565938690729,0.114678899082569
s__Parabacteroides_distasonis,0.442477876106195,-0.391937290033595,0.292336793707971,0.229357798165138
s__Clostridium_sp._BIOML_A1,1.76991150442478,0.335946248600224,0.807772719456235,0.229357798165138
s__Fusicatenibacter_sp._CLA_AA_H277,0,0.0559910414333707,0.575622912688141,0.335967606267483
s__Faecalibacillus_faecis,0.442477876106195,0.223964165733483,0.159744408945687,0.213219616204691
s__Anaeromassilibacillus_sp._An200,0,-0.111982082866741,0.310438143163573,0.221288707184914
s__Blautia_hansenii,0,0.0559910414333707,0.744417996361629,0
s__Bifidobacterium_pseudocatenulatum,0,0.167973124300112,0,0.106609808102345
s__Dorea_sp._AF36_15AT,1.32743362831858,5.5431131019037,0.221515263962928,0
s__Paraprevotella_clara,0,0,0,0.557256313452397
s__Phocaeicola_massiliensis,0,0.447928331466965,0.28328611898017,0.32789851528726
s__Blautia_sp._MSJ_19,0,0.83986562150056,0.150693734217886,0.762406838676865
s__Clostridium_saudiense,0,0.167973124300112,0.301387468435772,0.319829424307036
s__Roseburia_sp._CLA_AA_H204,0,0.167973124300112,0.452081202653658,-0.106609808102345
s__Clostridium_sp._D43t1_170807_D5,0,0,0.0708215297450425,0
s__Faecalibacterium_sp._CLA_AA_H233,0,1.51175811870101,0.381259672908615,0.213219616204691
s__Bacteroides_xylanisolvens,1.32743362831858,1.84770436730123,0.221515263962928,0.663866121554743
s__Waltera_intestinalis,1.76991150442478,0.391937290033595,0.159744408945687,0.213219616204691
s__Faecalibacterium_sp._I3389,0.442477876106195,0.83986562150056,0.744417996361629,0.114678899082569
s__Oscillibacter_sp._MCC667,2.65486725663717,2.12765957446809,0.99308528450796,0.106609808102345
s__Dorea_sp._AM58_8,1.32743362831858,2.57558790593505,1.19649919901529,0
s__Eubacterium_sp._AF22_8LB,0,0.0559910414333707,0.0708215297450425,0.213219616204691
s__Faecalibacterium_sp._AF27_11BH,-0.442477876106195,-0.223964165733483,0.141643059490085,0.114678899082569
s__Porcipelethomonas_ammoniilytica,0,0.167973124300112,0.310438143163573,0.114678899082569
s__Solobacterium_moorei,0,0,-0.0708215297450425,0
s__Succinivibrio_dextrinosolvens,0,0,0,0
s__Streptococcus_salivarius,0,0.111982082866741,0.363158323453013,0.229357798165138
s__Dorea_phocaeensis,0,0.0559910414333707,0.141643059490085,0.114678899082569
s__Butyricicoccus_faecihominis,0,0,0,0.114678899082569
s__Prevotella_sp._Marseille_P4119,1.76991150442478,1.79171332586786,0.292336793707971,0.32789851528726
s__Clostridium_sp._D43t1_170807_H7,0,0.167973124300112,0,0.434508323389605
s__Clostridium_sp._AF15_31,0,0,0.159744408945687,0
s__Butyricicoccus_sp._BIOML_A1,0,0.167973124300112,0,-0.114678899082569
s__Brotolimicola_acetigignens,0.884955752212389,0.111982082866741,0.0708215297450425,0.32789851528726
s__Chuhaivirus_simiae,0,0,0,0
s__Waltera_sp._CLA_AA_H273,1.76991150442478,0.391937290033595,0.0708215297450425,0.213219616204691
s__Prevotella_pectinovora,0,0.671892497200448,0.274235444252369,0
s__Clostridium_perfringens,0,0.447928331466965,0.452081202653658,0.106609808102345
s__Yeguia_hominis,0.442477876106195,0.895856662933931,1.14377901872585,0.32789851528726
s__Alistipes_shahii,0.442477876106195,0.0559910414333707,0,0
s__Roseburia_porci,0.442477876106195,0.503919372900336,0.833340875562273,0.557256313452397
s__Mediterraneibacter_glycyrrhizinilyticus,0.442477876106195,1.06382978723404,0.602774936871544,0
s__Faecalibacillus_sp._MSK20_93,0,0.279955207166853,0.141643059490085,0
s__Phascolarctobacterium_faecium,0.442477876106195,0.167973124300112,0.0798722044728434,0
s__Alistipes_onderdonkii,0,0,0,0.221288707184914
s__Schaalia_turicensis,0,0,0,0
s__Clostridium_spiroforme,0,0.0559910414333707,0.0798722044728434,0.106609808102345
s__Intestinimonas_massiliensis,0.884955752212389,0.167973124300112,0.974983935052358,0.442577414369828
s__Clostridium_sp._AF36_4,0,0,0.452081202653658,0.229357798165138
s__Dysosmobacter_sp._BX15,0.884955752212389,1.28779395296753,0.541004081854302,-0.0080690909802234
s__Clostridium_sp._L2_50,0,0.0559910414333707,0.159744408945687,0.671935212534966
s__Clostridium_sp._AF37_5,0,-0.111982082866741,0.141643059490085,0.221288707184914
s__Negativibacillus_massiliensis,1.32743362831858,0.727883538633819,0.150693734217886,0.106609808102345
s__Intestinimonas_butyriciproducens,1.76991150442478,-0.559910414333707,0.807772719456235,0.114678899082569
s__Anaerotignum_faecicola,0,0.335946248600224,0,0
s__Clostridium_sp._AF15_41,0.442477876106195,0,0.141643059490085,0.229357798165138
s__Clostridium_sp._1001270H_150608_G6,0,0,0,0.106609808102345
s__Clostridium_sp._AM42_36,0,0,1.51440414882929,0.221288707184914
s__Clostridium_sp._AM49_4BH,0.884955752212389,0.111982082866741,0.230565938690729,0
s__Burzaovirus_coli,0,0,0,0
s__Blautia_ammoniilytica,0.442477876106195,2.18365061590146,0.0798722044728434,1.0240410007629
s__Barnesiella_intestinihominis,0,0.503919372900336,0.00905067472780095,0
s__Collinsella_tanakaei,0,0.0559910414333707,0.221515263962928,0.229357798165138
s__Phocea_massiliensis,0.884955752212389,2.40761478163494,0.390310347636416,0.114678899082569
s__Intestinimonas_sp._MSJ_38,2.21238938053097,2.57558790593505,0.5229027323987,0.221288707184914
s__Clostridium_sp._1001270J_160509_D11,0,0.0559910414333707,0.150693734217886,0.557256313452397
s__Dysosmobacter_welbionis,0,-0.111982082866741,0.168795083673488,0.32789851528726
s__Ruminococcus_champanellensis,0,0.223964165733483,0.931314429490719,0.221288707184914
s__Suilimivivens_aceti,0.442477876106195,2.35162374020157,0.504801382943099,0.983695545861779
s__Pseudoflavonifractor_capillosus,0,0.0559910414333706,0.292336793707971,0
s__Clostridium_sp._AF43_10,0,0.0559910414333707,0,0.221288707184914
s__Faecalibacillus_sp._H12,0,0,0,0.106609808102345
s__Ruminococcus_sp._NSJ_13,0,0.0559910414333707,0.559105431309904,0
s__Turicibacter_sanguinis,0.442477876106195,0.0559910414333707,0.150693734217886,0.221288707184914
s__Jingyaoa_shaoxingensis,0,0.0559910414333707,1.62142837748554,1.55709004127462
s__Dorea_ammoniilytica,0.884955752212389,2.91153415453527,0.132592384762284,-0.122747990062792
s__Clostridium_sp._OM08_29,0,0.111982082866741,0.354107648725212,0.221288707184914
s__Terrisporobacter_mayombei,-0.442477876106195,0.111982082866741,0.922263754762918,1.30352497016882
s__Succinivibrio_sp._AGMB01872,0,0,0,0
s__Clostridium_sp._AF23_8,0.442477876106195,0.0559910414333707,0.28328611898017,0
s__Mediterraneibacter_butyricigenes,0.442477876106195,1.28779395296753,0.372208998180814,0.221288707184914
s__Oribacterium_sp._oral_taxon_102,-0.442477876106195,0.83986562150056,0.584673587415942,0.32789851528726
s__Dorea_sp._AF24_7LB,2.21238938053097,0.391937290033595,0.75346867108943,0.770475929657088
s__Dorea_sp._OM07_5,0.884955752212389,0.503919372900336,0.664545791888785,0.335967606267483
s__Desulfovibrio_sp._An276,0,0,0,0
s__Alistipes_communis,0,0.167973124300112,0.159744408945687,0
s__Alistipes_indistinctus,0,0,0,0
s__Dorea_sp._AM10_31,0.442477876106195,0.223964165733483,0.28328611898017,0.655797030574519
s__Streptococcus_parasanguinis,0,0.0559910414333707,0.0708215297450425,0
s__Agathobaculum_sp._M2,0,-0.111982082866741,0.0798722044728434,0.106609808102345
s__Streptococcus_thermophilus,0,0,0.150693734217886,0.106609808102345
s__Alistipes_ihumii,0.442477876106195,0,0,0
s__Qingrenia_yutianensis,0,0.615901455767077,0.70979916552779,0.114678899082569
s__Parolsenella_massiliensis,0,-0.167973124300112,0.230565938690729,0.114678899082569
s__Allisonella_histaminiformans,0,0.0559910414333707,0.354107648725212,0.106609808102345
s__Dorea_sp._NSJ_36,2.21238938053097,0.615901455767077,0.301387468435772,0.114678899082569
s__Prevotella_sp._P4_67,0,0,0,0
s__Prevotella_sp._P5_64,1.32743362831858,0.503919372900336,-0.0798722044728434,0.114678899082569
s__Dorea_sp._AM13_35,0.884955752212389,0.559910414333707,0.5229027323987,0.221288707184914
s__Schaalia_odontolytica,0,0,0.230565938690729,0.114678899082569
s__Terrisporobacter_glycolicus,0.442477876106195,0,0.0708215297450425,1.10644353592457
s__Prevotella_sp._P4_51,0,0,0,0
s__Prevotella_sp._P5_108,0,0,0,0
s__Bacteriophage_sp.,0.884955752212389,0.111982082866741,0.0798722044728434,0
s__Phage_FAKO27_000271F,0,0,0,0
