,species_SC,go_SC,mtb_SC,plasma_mtb_SC
s__Oscillibacter_sp._ER4,0.007,0.005,0.089,0.825
s__Prevotella_stercorea,0.046,0.026,0.323,0.56
s__Prevotella_hominis,1,0.033,0.023,1
s__Roseburia_intestinalis,1,0.783,0.593,0.069
s__Ellagibacter_isourolithinifaciens,1,0.559,0.012,0.037
s__Coprococcus_eutactus,0.006,0.063,0.34,0.28
s__Akkermansia_muciniphila,1,1,1,0.706
s__Blautia_sp._BIOML_A1,1,0.666,0.934,0.605
s__Vescimonas_coprocola,0.05,0.019,0.28,0.846
s__Eubacterium_ramulus,0.223,0.466,0.561,0.738
s__Faecalibacterium_sp._HTFF,1,0.501,0.902,0.466
s__Coprococcus_catus,0.06,0.271,0.113,1
s__Evtepia_gabavorous,1,0.391,0.569,1
s__Dialister_succinatiphilus,1,1,1,1
s__Blautia_stercoris,0.037,0.489,0.221,0.596
s__Lentihominibacter_faecis,0.424,0.71,0.095,0.734
s__Parolsenella_catena,0.308,1,0.012,0.652
s__Senegalimassilia_anaerobia,0.012,0.05,0.147,0.097
s__Collinsella_bouchesdurhonensis,1,0.671,0.316,0.062
s__Escherichia_coli,0.073,0.133,0.24,0.542
s__Lachnospira_eligens,1,0.785,0.839,0.488
s__Anthropogastromicrobium_aceti,0.393,0.347,0.459,0.587
s__Ruminococcus_bicirculans,0.407,0.607,0.565,0.696
s__Veillonella_parvula,0.112,0.708,0.131,0.702
s__Ruminococcus_flavefaciens,0.065,0.064,0.222,0.843
s__Prevotella_sp._885,1,0.068,0.116,1
s__Phascolarctobacterium_succinatutens,0.003,0.003,0.379,0.726
s__Oscillibacter_valericigenes,1,0.439,0.619,0.836
s__Lachnoclostridium_sp._210928_DFI_6_3,1,0.544,0.555,0.575
s__Ruminococcus_lactaris,1,0.549,0.908,0.304
s__Ruminococcus_sp._NSJ_71,0.276,0.319,0.059,0.537
s__Ruthenibacterium_lactatiformans,1,0.812,0.262,0.869
s__Butyrivibrio_crossotus,1,0.626,0.748,0.089
s__Flavonifractor_plautii,1,0.542,0.855,0.609
s__Prevotellamassilia_timonensis,1,0.079,0.607,0.125
s__Roseburia_sp._BX1005,0.093,0.331,0.904,0.207
s__Olsenella_uli,0.156,0.264,0.096,0.724
s__Gallintestinimicrobium_propionicum,0.155,0.388,0.258,0.086
s__Roseburia_hominis,1,0.61,0.553,0.824
s__Ruminococcus_sp._BSD2780120874_150323_B10,1,0.201,1,1
s__Vescimonas_fastidiosa,0.016,0.018,1,0.848
s__Faecalicatena_fissicatena,1,0.717,0.733,1
s__Simiaoa_sunii,0,0.011,0.2,0.391
s__Ruminococcus_sp._FMBCY1,1,1,1,1
s__Collinsella_sp._AM34_10,0.145,0.401,0.146,0.662
s__Senegalimassilia_faecalis,0.322,0.018,0.142,0.398
s__Mediterraneibacter_sp._NSJ_151,1,0.558,0.697,0.422
s__Agathobaculum_butyriciproducens,0.285,0.403,0.532,0.509
s__Anaerotardibacter_sp._CLA_AA_M13,0.114,0.315,0.013,0.039
s__Phascolarctobacterium_sp._Marseille_Q4147,0.025,0.011,0.364,0.11
s__Eggerthella_lenta,0.093,0.062,0.027,0.065
s__Eubacterium_ventriosum,0.286,1,1,0.825
s__Alistipes_putredinis,0.241,0.453,0.244,0.668
s__Absicoccus_porci,1,0.099,1,1
s__Oscillibacter_sp._MSJ_31,0.086,0.148,0.447,0.724
s__Bacteroides_caccae,0.312,0.151,0.606,0.811
s__Intestinibacter_bartlettii,1,0.391,0.706,0.075
s__Bacteroides_ovatus,0.319,0.12,0.055,0.543
s__Blautia_schinkii,0.093,0.287,0.194,0.358
s__Faecalibacillus_intestinalis,0.078,0.365,0.518,0.612
s__Holdemanella_sp._MSK_7_32,0.017,0.125,0.069,0.643
s__Pseudoflavonifractor_sp._MSJ_30,0.181,0.247,0.966,1
s__Blautia_sp._MSK_20_85,1,0.456,0.673,0.145
s__Bacteroides_fragilis,0.033,0.208,0.188,0.066
s__Ruminococcus_sp._AF37_3AC,0.169,1,0.401,1
s__Blautia_sp._MCC270,0.189,0.274,0.182,0.743
s__Klebsiella_pneumoniae,0.022,0.151,0.17,0.021
s__Parabacteroides_merdae,0.018,0.447,0.836,0.137
s__Brachyspira_aalborgi,1,1,1,1
s__Roseburia_sp._CLA_AA_H209,1,0.318,0.349,0.082
s__Desulfovibrio_piger,0.247,0.601,0.623,1
s__Bacteroides_stercoris,0.154,0.417,0.289,0.071
s__Blautia_sp._OF03_15BH,0.291,0.078,0.296,0.477
s__Kineothrix_sp._MSJ_39,0.302,0.732,0.684,0.734
s__Ruminococcus_sp._Marseille_P6503,0.318,0.357,0.033,0.351
s__Ruminococcus_sp._M6_2020,0.396,0.128,0.588,0.838
s__Blautia_sp._MSK20_18,1,0.741,0.466,0.602
s__Blautia_sp._MCC283,1,1,0.898,0.073
s__Collinsella_sp._TF05_9AC,0.091,0.014,0.469,1
s__Mitsuokella_jalaludinii,0.024,0.245,0.102,0.135
s__Pseudoflavonifractor_phocaeensis,1,0.602,0.794,1
s__Faecalibacterium_sp._Marseille_Q4896,0.349,0.56,0.547,1
s__Brotomerdimonas_butyrica,1,0.407,0.284,1
s__Clostridium_sp._1001271B_151109_B4,1,0.48,0.51,0.37
s__Adlercreutzia_equolifaciens,0.039,0.024,0.651,0.193
s__Methanosphaera_stadtmanae,1,1,1,1
s__Blautia_sp._MSJ_36,1,0.123,0.689,0.157
s__Bacteroides_thetaiotaomicron,0.018,0.116,0.04,0.089
s__Blautia_sp._Marseille_P3087,0.027,0.064,0.732,0.079
s__Megasphaera_elsdenii,0.208,0.034,0.27,1
s__Ruminococcus_sp._210702_SL_1_03,0.07,0.053,0.533,0.739
s__Parabacteroides_distasonis,0.346,0.291,0.48,0.448
s__Clostridium_sp._BIOML_A1,0.015,0.197,0.063,0.407
s__Fusicatenibacter_sp._CLA_AA_H277,1,0.754,0.209,0.378
s__Faecalibacillus_faecis,0.289,0.357,0.592,0.569
s__Anaeromassilibacillus_sp._An200,1,0.552,0.454,0.579
s__Blautia_hansenii,1,0.765,0.099,1
s__Bifidobacterium_pseudocatenulatum,1,0.411,1,0.745
s__Dorea_sp._AF36_15AT,0.096,0.003,0.596,1
s__Paraprevotella_clara,1,1,1,0.056
s__Phocaeicola_massiliensis,1,0.193,0.414,0.358
s__Blautia_sp._MSJ_19,1,0.11,0.71,0.13
s__Clostridium_saudiense,1,0.255,0.248,0.298
s__Roseburia_sp._CLA_AA_H204,1,0.453,0.265,0.817
s__Clostridium_sp._D43t1_170807_D5,1,1,0.71,1
s__Faecalibacterium_sp._CLA_AA_H233,1,0.093,0.354,0.632
s__Bacteroides_xylanisolvens,0.081,0.046,0.57,0.12
s__Waltera_intestinalis,0.051,0.304,0.6,0.62
s__Faecalibacterium_sp._I3389,0.411,0.203,0.116,0.748
s__Oscillibacter_sp._MCC667,0.016,0.06,0.091,0.853
s__Dorea_sp._AM58_8,0.088,0.036,0.028,1
s__Eubacterium_sp._AF22_8LB,1,0.543,0.8,0.423
s__Faecalibacterium_sp._AF27_11BH,0.372,0.519,0.749,0.729
s__Porcipelethomonas_ammoniilytica,1,0.381,0.327,0.654
s__Solobacterium_moorei,1,1,0.799,1
s__Succinivibrio_dextrinosolvens,1,1,1,1
s__Streptococcus_salivarius,1,0.365,0.15,0.255
s__Dorea_phocaeensis,1,0.719,0.777,0.724
s__Butyricicoccus_faecihominis,1,1,1,0.735
s__Prevotella_sp._Marseille_P4119,0.006,0.012,0.22,0.247
s__Clostridium_sp._D43t1_170807_H7,1,0.242,1,0.148
s__Clostridium_sp._AF15_31,1,1,0.065,1
s__Butyricicoccus_sp._BIOML_A1,1,0.525,1,0.741
s__Brotolimicola_acetigignens,0.151,0.609,0.907,0.407
s__Chuhaivirus_simiae,1,1,1,1
s__Waltera_sp._CLA_AA_H273,0.048,0.305,0.9,0.575
s__Prevotella_pectinovora,1,0.072,0.231,1
s__Clostridium_perfringens,1,0.264,0.259,0.849
s__Yeguia_hominis,0.422,0.206,0.048,0.439
s__Alistipes_shahii,0.172,0.425,1,1
s__Roseburia_porci,0.287,0.191,0.076,0.171
s__Mediterraneibacter_glycyrrhizinilyticus,0.253,0.103,0.167,1
s__Faecalibacillus_sp._MSK20_93,1,0.08,0.354,1
s__Phascolarctobacterium_faecium,0.182,0.247,0.627,1
s__Alistipes_onderdonkii,1,1,1,0.422
s__Schaalia_turicensis,1,1,1,1
s__Clostridium_spiroforme,1,0.614,0.727,0.786
s__Intestinimonas_massiliensis,0.224,0.66,0.106,0.261
s__Clostridium_sp._AF36_4,1,1,0.194,0.411
s__Dysosmobacter_sp._BX15,0.197,0.14,0.25,0.87
s__Clostridium_sp._L2_50,1,0.38,0.429,0.058
s__Clostridium_sp._AF37_5,1,0.471,0.65,0.477
s__Negativibacillus_massiliensis,0.039,0.094,0.63,0.814
s__Intestinimonas_butyriciproducens,0.061,0.355,0.133,0.752
s__Anaerotignum_faecicola,1,0.27,1,1
s__Clostridium_sp._AF15_41,0.14,1,0.504,0.277
s__Clostridium_sp._1001270H_150608_G6,1,1,1,0.516
s__Clostridium_sp._AM42_36,1,1,0.003,0.213
s__Clostridium_sp._AM49_4BH,0.11,0.523,0.495,1
s__Burzaovirus_coli,1,1,1,1
s__Blautia_ammoniilytica,0.318,0.039,0.835,0.048
s__Barnesiella_intestinihominis,1,0.048,0.779,1
s__Collinsella_tanakaei,1,0.764,0.597,0.502
s__Phocea_massiliensis,0.176,0.049,0.414,0.73
s__Intestinimonas_sp._MSJ_38,0.024,0.041,0.284,0.591
s__Clostridium_sp._1001270J_160509_D11,1,0.496,0.51,0.07
s__Dysosmobacter_welbionis,1,0.709,0.653,0.438
s__Ruminococcus_champanellensis,1,0.486,0.096,0.577
s__Suilimivivens_aceti,0.389,0.058,0.274,0.048
s__Pseudoflavonifractor_capillosus,1,0.841,0.56,1
s__Clostridium_sp._AF43_10,1,0.321,1,0.268
s__Faecalibacillus_sp._H12,1,1,1,0.367
s__Ruminococcus_sp._NSJ_13,1,0.666,0.164,1
s__Turicibacter_sanguinis,0.171,0.41,0.425,0.295
s__Jingyaoa_shaoxingensis,1,0.745,0.009,0.02
s__Dorea_ammoniilytica,0.178,0.039,0.766,0.644
s__Clostridium_sp._OM08_29,1,0.226,0.112,0.327
s__Terrisporobacter_mayombei,0.26,0.489,0.042,0.013
s__Succinivibrio_sp._AGMB01872,1,1,1,1
s__Clostridium_sp._AF23_8,0.189,0.406,0.249,1
s__Mediterraneibacter_butyricigenes,0.279,0.089,0.337,0.564
s__Oribacterium_sp._oral_taxon_102,0.32,0.112,0.172,0.425
s__Dorea_sp._AF24_7LB,0.025,0.334,0.089,0.083
s__Dorea_sp._OM07_5,0.158,0.218,0.102,0.339
s__Desulfovibrio_sp._An276,1,1,1,1
s__Alistipes_communis,1,0.215,0.348,1
s__Alistipes_indistinctus,1,1,1,1
s__Dorea_sp._AM10_31,0.323,0.431,0.392,0.12
s__Streptococcus_parasanguinis,1,0.609,0.834,1
s__Agathobaculum_sp._M2,1,0.592,0.842,0.83
s__Streptococcus_thermophilus,1,1,0.469,0.649
s__Alistipes_ihumii,0.153,1,1,1
s__Qingrenia_yutianensis,1,0.205,0.155,0.684
s__Parolsenella_massiliensis,1,0.325,0.326,0.588
s__Allisonella_histaminiformans,1,0.171,0.051,0.472
s__Dorea_sp._NSJ_36,0.025,0.224,0.39,0.728
s__Prevotella_sp._P4_67,1,1,1,1
s__Prevotella_sp._P5_64,0.001,0.005,0.258,0.247
s__Dorea_sp._AM13_35,0.101,0.162,0.103,0.475
s__Schaalia_odontolytica,1,1,0.455,0.685
s__Terrisporobacter_glycolicus,0.13,1,0.707,0.01
s__Prevotella_sp._P4_51,1,1,1,1
s__Prevotella_sp._P5_108,1,1,1,1
s__Bacteriophage_sp.,0.057,0.318,0.63,1
s__Phage_FAKO27_000271F,1,1,1,1
