,species_SC,go_SC,mtb_SC,plasma_mtb_SC,species2_SC
s__Prevotella_salivae,1,1,0.515,0.273,0.116
s__Streptococcus_sp._UMB0029,0.191,0.762,1,0.772,1
s__Solobacterium_moorei,0.145,1,1,0.22,1
s__Peptostreptococcus_stomatis,1,0.346,1,1,1
s__Veillonella_nakazawae,0.15,0.028,1,0.619,0.323
s__Streptococcus_sp._F0442,1,0.209,0.249,1,1
s__Streptococcus_sp._HPH0090,0.122,1,0.417,0.69,1
s__Prevotella_intermedia,1,0.747,1,0.835,0.349
s__Rothia_aeria,1,1,0.265,0.779,1
s__Streptococcus_sp._HMSC034E03,0.26,0.573,0.071,1,1
s__Streptococcus_anginosus,1,0.348,0.243,0.104,0.051
s__Veillonella_sp._oral_taxon_158,1,0.082,1,0.233,0.369
s__Streptococcus_sp._XMC,0.275,0.311,1,0.9,1
s__Rothia_sp._HMSC062F03,0.013,0.737,0.552,0.195,1
s__Actinomyces_sp._ICM58,0.226,0.635,0.594,0.077,1
s__Leptotrichia_wadei,1,0.211,0.525,0.059,1
s__Mogibacterium_diversum,0.11,1,1,0.053,1
s__Actinomyces_sp._oral_taxon_172,0.07,0.337,1,0.039,1
s__Porphyromonas_somerae,1,0.308,1,0.323,0.242
s__Porphyromonas_sp._oral_taxon_279,1,1,0.166,0.071,0.234
s__Porphyromonas_bobii,1,1,1,0.128,0.228
s__Neisseria_flavescens,1,1,1,0.554,1
s__Rothia_sp._HMSC072E10,0.023,0.715,0.227,0.535,0.329
s__Candidatus_Nanosynbacter_sp._HMT_352,1,0.05,1,0.227,1
s__Parvimonas_micra,0.175,0.526,1,1,1
s__Prevotella_vespertina,1,0.288,0.137,0.594,1
s__Porphyromonas_sp._KLE_1280,1,0.427,0.15,0.162,1
s__Prevotella_nanceiensis,0.267,0.609,1,0.019,1
s__Fusobacterium_pseudoperiodonticum,1,0.495,1,0.31,1
s__Streptococcus_sp._HMSC074B11,0.028,0.624,0.162,0.639,1
s__Abiotrophia_sp._HMSC24B09,0.125,0.119,1,1,0.147
s__Streptococcus_sp._SK140,0.026,0.735,1,0.867,0.388
s__Prevotella_sp._oral_taxon_306,1,0.041,0.283,0.598,0.088
s__Neisseria_sp._oral_taxon_014,0.031,1,1,1,0.286
s__Streptococcus_sp._HMSC061D10,1,0.389,0.253,0.814,1
s__Veillonella_sp._S13053_19,1,0.037,1,0.029,1
s__Haemophilus_influenzae,1,1,0.059,0.664,0.056
s__Streptococcus_sp._HMSC056C01,1,0.876,1,0.495,0.365
s__Lachnoanaerobaculum_saburreum,0.201,0.096,0.009,0.013,1
s__Leptotrichia_sp._oral_taxon_218,1,1,1,1,1
s__Alloprevotella_rava,1,1,1,1,0.132
s__Haemophilus_paraphrohaemolyticus,1,1,0.242,0.729,1
s__Streptococcus_sp._1001283B150225_161107_H12,0.253,0.471,1,0.629,0.363
s__Actinomyces_naeslundii,1,0.616,0.364,0.295,0.1
s__Schaalia_sp._ORNL0103,1,1,0.583,0.756,1
s__Streptococcus_sp._Marseille_Q6470,1,0.826,0.26,1,0.384
s__Streptococcus_sp._343_SSPC,0.102,0.401,0.536,0.678,1
s__Porphyromonas_pasteri,1,1,1,0.187,0.062
s__Porphyromonas_endodontalis,1,1,1,1,1
s__Campylobacter_concisus,0.205,0.407,1,0.099,1
s__Leptotrichia_sp._oral_taxon_417,1,1,1,1,1
s__Oribacterium_sinus,1,0.139,1,0.443,1
s__Streptococcus_sp._Marseille_Q0941,0.067,0.836,0.559,1,1
s__Streptococcus_sp._HMSC062D07,0.114,1,1,1,1
s__Aggregatibacter_segnis,0.188,0.281,0.488,0.469,0.301
s__Streptococcus_sp._A12,0.262,1,0.566,0.552,0.366
s__Fusobacterium_periodonticum,0.168,0.221,0.16,0.336,1
s__Streptococcus_sp._Marseille_Q4154,0.267,0.837,0.555,1,1
s__Gemella_morbillorum,1,0.254,0.094,0.5,1
s__Fusobacterium_nucleatum,1,0.667,1,0.844,1
s__Granulicatella_sp._HMSC30F09,1,1,0.213,0.783,0.12
s__Veillonella_sp._CLA_AA_H247,1,0.025,0.554,0.607,0.054
s__Tannerella_serpentiformis,1,1,1,1,1
s__Haemophilus_sp._Marseille_Q0026,1,1,1,1,1
s__Leptotrichia_sp._oral_taxon_215,1,1,1,1,1
s__Leptotrichia_sp._oral_taxon_221,1,1,1,0.234,1
s__Actinobaculum_sp._oral_taxon_183,1,1,1,1,1
s__Streptococcus_sp._oral_taxon_061,1,1,0.523,1,1
s__Bifidobacterium_longum,1,1,1,1,1
s__Aggregatibacter_sp._2125159857,1,0.379,0.259,1,1
s__Abiotrophia_defectiva,1,1,1,1,1
s__Corynebacterium_durum,1,1,1,1,1
s__Aggregatibacter_sp._oral_taxon_458,0.148,1,1,0.555,1
s__Candidatus_Nanosynbacter_sp._TM7_057,0.167,1,1,0.181,1
s__Lachnoanaerobaculum_orale,0.153,1,0.209,0.194,1
s__Bohxovirus_oralis,1,1,1,1,1
s__Actinomyces_sp._S6_Spd3,1,0.149,1,1,0.012
s__Streptococcus_virus_MS1,1,1,1,1,1
s__Candidatus_Nanosynbacter_sp._TM7_008,0.032,1,1,1,1
s__Candidatus_Nanosynbacter_sp._TM7_076,1,0.193,1,0.268,0.168
s__Actinomyces_sp._oral_taxon_181,1,1,1,0.591,0.173
s__Actinomyces_sp._ph3,1,1,1,1,0.122
s__Candidatus_Nanosynbacter_sp._TM7_087,1,0.408,0.357,0.616,1
s__Lachnoanaerobaculum_sp._ICM7,1,1,1,1,1
s__Candidatus_Nanosynbacter_sp._TM7_075,0.015,0.085,1,0.285,1
s__Candidatus_Nanosynbacter_sp._TM7_053,0.041,0.404,1,1,1
s__Dybvigvirus_Av1,1,1,1,1,1
s__Cepunavirus_Cp1,1,1,1,1,1
