Taxa	GO	Description	cooccurrence_Non-HIV	cooccurrence_Pre-HIV	cor_Non-HIV	cor_Pre-HIV	diff_cor	p	sign	Ontology	Definition
s__Fusobacterium_nucleatum	GO:0004743	pyruvate kinase activity	134	71	-0.214	0.347	0.561	0.000106112392875168	Pre-HIV+	MF	Catalysis of the reaction: ATP + pyruvate = ADP + phosphoenolpyruvate.
s__Veillonella_dispar	GO:0008311	double-stranded DNA 3'-5' exodeoxyribonuclease activity	142	77	0.198	-0.34	0.538	0.000114300959581426	Pre-HIV-	MF	Catalysis of the sequential cleavage of mononucleotides from a free 3' terminus of a double-stranded DNA molecule.
s__Veillonella_sp._CLA_AA_H247	GO:0001510	RNA methylation	134	73	-0.252	0.302	0.554	0.000119859187088345	Pre-HIV+	BP	Posttranscriptional addition of a methyl group to either a nucleotide or 2'-O ribose in a polyribonucleotide. Usually uses S-adenosylmethionine as a cofactor.
s__Streptococcus_salivarius	GO:0006437	tyrosyl-tRNA aminoacylation	145	78	0.574	0.105	0.469	0.000123108468489619	Non-HIV+	BP	The process of coupling tyrosine to tyrosyl-tRNA, catalyzed by tyrosyl-tRNA synthetase.The tyrosyl-tRNA synthetase is a  class-I synthetase. The activated amino acid is transferred to the 2'-OH group of a tyrosine-accetping tRNA. The 2'-O-aminoacyl-tRNA will ultimately migrate to the 3' position via transesterification.T
s__Streptococcus_sp._HMSC056C01	GO:0008667	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity	127	68	0.01	0.535	0.524	0.000128496245898724	Pre-HIV+	MF	Catalysis of the reaction: (2S,3S)-2,3-dihydroxy-2,3-dihydrobenzoate + NAD(+) = 2,3-dihydroxybenzoate + H(+) + NADH.
s__Streptococcus_vestibularis	GO:0000107	imidazoleglycerol-phosphate synthase activity	137	73	-0.169	0.374	0.543	0.000133414806305021	Pre-HIV+	MF	Catalysis of the reaction: phosphoribulosylformimino-AICAR-P + L-glutamine = D-erythro-imidazole-glycerol-phosphate + aminoimidazole carboxamide ribonucleotide + L-glutamate + 2 H(+).
s__Prevotella_melaninogenica	GO:0036094	small molecule binding	137	74	-0.353	0.189	0.542	0.000135229489618194	Non-HIV-	MF	Interacting selectively and non-covalently with a small molecule, any low molecular weight, monomeric, non-encoded molecule.
s__Fusobacterium_nucleatum	GO:0030955	potassium ion binding	134	71	-0.242	0.312	0.554	0.000138422649128334	Pre-HIV+	MF	Interacting selectively and non-covalently with potassium (K+) ions.
s__Haemophilus_parainfluenzae	GO:0004459	L-lactate dehydrogenase activity	142	76	-0.479	0.029	0.508	0.000139063687980334	Non-HIV-	MF	Catalysis of the reaction: (S)-lactate + NAD+ = pyruvate + NADH + H+.
s__Veillonella_nakazawae	GO:0001510	RNA methylation	138	75	-0.227	0.314	0.54	0.000142314348693828	Pre-HIV+	BP	Posttranscriptional addition of a methyl group to either a nucleotide or 2'-O ribose in a polyribonucleotide. Usually uses S-adenosylmethionine as a cofactor.
s__Streptococcus_pseudopneumoniae	GO:0004055	argininosuccinate synthase activity	144	78	0.192	-0.335	0.528	0.000142346921882863	Pre-HIV-	MF	Catalysis of the reaction: ATP + L-citrulline + L-aspartate = AMP + diphosphate + (N(omega)-L-arginino)succinate.
s__Haemophilus_parainfluenzae	GO:0019674	NAD metabolic process	143	77	-0.567	-0.1	0.468	0.000155432655820853	Non-HIV-	BP	The chemical reactions and pathways involving nicotinamide adenine dinucleotide (NAD), a coenzyme present in most living cells and derived from the B vitamin nicotinic acid.
s__Streptococcus_vestibularis	GO:0004635	phosphoribosyl-AMP cyclohydrolase activity	142	78	-0.149	0.373	0.521	0.00015768660503479	Pre-HIV+	MF	Catalysis of the reaction: 1-(5-phosphonatoribosyl)-5'-AMP + H(2)O = 1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]imidazole-4-carboxamide.
s__Haemophilus_parainfluenzae	GO:0051087	chaperone binding	143	77	-0.364	0.16	0.524	0.000159365914528031	Non-HIV-	MF	Interacting selectively and non-covalently with a chaperone protein, a class of proteins that bind to nascent or unfolded polypeptides and ensure correct folding or transport.
s__Veillonella_parvula	GO:0000150	recombinase activity	143	75	-0.304	0.228	0.532	0.000168318631086573	Non-HIV-	MF	Catalysis of the identification and base-pairing of homologous sequences between single-stranded DNA and double-stranded DNA.
s__Veillonella_sp._S13053_19	GO:0004127	cytidylate kinase activity	138	75	-0.348	0.183	0.531	0.0001718001245401	Non-HIV-	MF	Catalysis of the reaction: ATP + (d)CMP = ADP + (d)CDP.
s__Veillonella_rogosae	GO:0140658	none	138	77	-0.318	0.21	0.528	0.00017682776590866	Non-HIV-	none	none
s__Streptococcus_sp._XMC	GO:0070490	protein pupylation	120	64	-0.249	0.325	0.574	0.000181591007862858	Pre-HIV+	BP	The process in which a Pup protein is conjugated to a target protein via an isopeptide bond between the carboxyl terminus of Pup and the epsilon-amino group of a lysine residue of the target protein.
s__Streptococcus_sp._XMC	GO:0031386	protein tag	120	64	-0.249	0.325	0.574	0.00018159100786308	Pre-HIV+	MF	A molecular function exhibited by a protein that is covalently attached (AKA tagged or conjugated) to another protein where it acts as a marker, recognized by the cellular apparatus to target the tagged protein for some cellular process such as modification, sequestration, transport or degradation.
s__Streptococcus_sp._XMC	GO:0070628	proteasome binding	120	64	-0.249	0.324	0.573	0.000183330039903007	Pre-HIV+	MF	Interacting selectively and non-covalently with a proteasome, a large multisubunit protein complex that catalyzes protein degradation.
s__Veillonella_nakazawae	GO:0008320	protein transmembrane transporter activity	138	75	-0.002	-0.499	0.497	0.000183739465640986	Pre-HIV-	MF	Enables the transfer of a protein from one side of a membrane to the other.
s__Haemophilus_parainfluenzae	GO:0000774	adenyl-nucleotide exchange factor activity	143	77	-0.447	0.056	0.503	0.000188555612982144	Non-HIV-	MF	Stimulates the hydrolysis and exchange of adenyl nucleotides by other proteins.
s__Streptococcus_sp._SK140	GO:0019290	siderophore biosynthetic process	128	68	0.027	0.534	0.506	0.000205294841518766	Pre-HIV+	BP	The chemical reactions and pathways resulting in the formation of siderophores, low molecular weight Fe(III)-chelating substances made by aerobic or facultatively anaerobic bacteria, especially when growing under iron deficient conditions. The complexes of Fe(3+)-siderophores have very high stability constants and are taken up by specific transport systems by microorganisms; the subsequent release of iron requires enzymatic action.
s__Haemophilus_parainfluenzae	GO:0042803	protein homodimerization activity	143	77	-0.364	0.148	0.513	0.000218877945015183	Non-HIV-	MF	Interacting selectively and non-covalently with an identical protein to form a homodimer.
s__Veillonella_dispar	GO:0043772	acyl-phosphate glycerol-3-phosphate acyltransferase activity	143	76	-0.305	0.215	0.52	0.000221194304555139	Non-HIV-	MF	Catalysis of the reaction: acyl phosphate + sn-glycerol 3-phosphate = 1-acyl-sn-glycerol 3-phosphate + orthophosphate.
s__Streptococcus_vestibularis	GO:0005351	carbohydrate:proton symporter activity	143	78	0.365	-0.143	0.508	0.00023497737492284	Non-HIV+	MF	Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: sugar(out) + H+(out) = sugar(in) + H+(in).
s__Veillonella_nakazawae	GO:0043772	acyl-phosphate glycerol-3-phosphate acyltransferase activity	138	74	-0.368	0.149	0.517	0.000256632508802257	Non-HIV-	MF	Catalysis of the reaction: acyl phosphate + sn-glycerol 3-phosphate = 1-acyl-sn-glycerol 3-phosphate + orthophosphate.
s__Veillonella_nakazawae	GO:0019632	shikimate metabolic process	137	72	-0.334	0.191	0.525	0.000261525055763823	Non-HIV-	BP	The chemical reactions and pathways involving shikimate, (3R,4S,5R)--3,4,5-trihydroxycyclohex-1-ene-1-carboxylate, the anion of shikimic acid. It is an important intermediate in the biosynthesis of aromatic amino acids.
s__Lachnoanaerobaculum_saburreum	GO:0009341	beta-galactosidase complex	114	58	0.494	-0.06	0.554	0.000267747855851486	Non-HIV+	CC	A protein complex that possesses beta-galactosidase activity, i.e. catalyzes the hydrolysis of terminal non-reducing beta-D-galactose residues in beta-D-galactosides. In E. coli, the complex is a homotetramer; dimeric and hexameric beta-galactosidase complexes have been observed in other species.
s__Veillonella_nakazawae	GO:0016410	N-acyltransferase activity	136	75	0.127	-0.385	0.511	0.000270803849336199	Pre-HIV-	MF	Catalysis of the transfer of an acyl group to a nitrogen atom on the acceptor molecule.
s__Veillonella_nakazawae	GO:0003941	L-serine ammonia-lyase activity	138	75	-0.095	0.41	0.505	0.000278383463594656	Pre-HIV+	MF	Catalysis of the reaction: L-serine = pyruvate + NH3.
s__Streptococcus_sp._HMSC056C01	GO:0019290	siderophore biosynthetic process	129	68	-0.066	0.451	0.517	0.000298135752467399	Pre-HIV+	BP	The chemical reactions and pathways resulting in the formation of siderophores, low molecular weight Fe(III)-chelating substances made by aerobic or facultatively anaerobic bacteria, especially when growing under iron deficient conditions. The complexes of Fe(3+)-siderophores have very high stability constants and are taken up by specific transport systems by microorganisms; the subsequent release of iron requires enzymatic action.
s__Haemophilus_parainfluenzae	GO:0004523	RNA-DNA hybrid ribonuclease activity	143	77	-0.456	0.028	0.483	0.000299726525585742	Non-HIV-	MF	Catalysis of the endonucleolytic cleavage of RNA in RNA-DNA hybrids to 5'-phosphomonoesters.
s__Streptococcus_vestibularis	GO:0000105	histidine biosynthetic process	143	78	-0.178	0.324	0.503	0.000305763356129862	Pre-HIV+	BP	The chemical reactions and pathways resulting in the formation of histidine, 2-amino-3-(1H-imidazol-4-yl)propanoic acid.
s__Veillonella_sp._S13053_19	GO:0004342	glucosamine-6-phosphate deaminase activity	138	75	-0.339	0.172	0.511	0.000306247152070727	Non-HIV-	MF	Catalysis of the reaction: D-glucosamine 6-phosphate + H(2)O = beta-D-fructose 6-phosphate + NH(4)(+).
s__Veillonella_sp._oral_taxon_158	GO:0140658	none	140	75	-0.31	0.2	0.51	0.000326035677867376	Non-HIV-	none	none
s__Streptococcus_vestibularis	GO:0004424	imidazoleglycerol-phosphate dehydratase activity	140	76	-0.179	0.327	0.506	0.000328829691863097	Pre-HIV+	MF	Catalysis of the reaction: D-erythro-1-(imidazol-4-yl)glycerol 3-phosphate = 3-(imidazol-4-yl)-2-oxopropyl phosphate + H(2)O.
s__Streptococcus_oralis	GO:0004417	hydroxyethylthiazole kinase activity	143	77	0.449	-0.032	0.481	0.000337544238303344	Non-HIV+	MF	Catalysis of the reaction: 5-(2-hydroxyethyl)-4-methylthiazole + ATP = 4-methyl-5-(2-phosphoethyl)-thiazole + ADP + 2 H(+).
s__Prevotella_melaninogenica	GO:0035673	oligopeptide transmembrane transporter activity	136	73	0.378	-0.127	0.504	0.000379629124950043	Non-HIV+	MF	Enables the transfer of oligopeptides from one side of a membrane to the other. Oligopeptides are molecules that contain a small number (2 to 20) of amino-acid residues connected by peptide linkages.
s__Gemella_sanguinis	GO:0003879	ATP phosphoribosyltransferase activity	138	74	0.011	-0.469	0.481	0.000382469145753905	Pre-HIV-	MF	Catalysis of the reaction: 1-(5-phospho-D-ribosyl)-ATP + diphosphate = ATP + 5-phospho-alpha-D-ribose 1-diphosphate.
s__Lachnoanaerobaculum_saburreum	GO:0004565	beta-galactosidase activity	114	58	0.458	-0.087	0.546	0.000406479339889243	Non-HIV+	MF	Catalysis of the hydrolysis of terminal, non-reducing beta-D-galactose residues in beta-D-galactosides.
s__Streptococcus_vestibularis	GO:0009432	SOS response	140	75	-0.46	0.018	0.477	0.000407052133345909	Non-HIV-	BP	An error-prone process for repairing damaged microbial DNA.
s__Veillonella_dispar	GO:0070395	lipoteichoic acid biosynthetic process	142	73	-0.192	0.313	0.505	0.000407395859215232	Pre-HIV+	BP	The chemical reactions and pathways resulting in the formation of lipoteichoic acid, which is a major component of the cell wall of gram-positive bacteria and typically consists of a chain of glycerol-phosphate repeating units linked to a glycolipid anchor.
s__Streptococcus_sp._A12	GO:0001000	bacterial-type RNA polymerase core enzyme binding	123	64	-0.402	0.129	0.531	0.00041129678838514	Non-HIV-	MF	Interacting selectively and non-covalently with the bacterial-type RNA polymerase core enzyme, typically consisting of two alpha, one beta, one beta prime, and one omega subunit.
s__Gemella_sanguinis	GO:0070401	NADP+ binding	130	73	0.08	-0.418	0.498	0.000412063073037983	Pre-HIV-	MF	Interacting selectively and non-covalently with the oxidized form, NADP+, of nicotinamide-adenine dinucleotide phosphate, a coenzyme involved in many redox and biosynthetic reactions.
s__Haemophilus_parainfluenzae	GO:0046983	protein dimerization activity	143	77	-0.515	-0.063	0.453	0.000417826542918887	Non-HIV-	MF	The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits.
s__Veillonella_sp._CLA_AA_H247	GO:0043772	acyl-phosphate glycerol-3-phosphate acyltransferase activity	134	72	-0.351	0.156	0.508	0.000419333504149799	Non-HIV-	MF	Catalysis of the reaction: acyl phosphate + sn-glycerol 3-phosphate = 1-acyl-sn-glycerol 3-phosphate + orthophosphate.
s__Granulicatella_adiacens	GO:0009088	threonine biosynthetic process	141	76	-0.036	0.441	0.478	0.000421184928035334	Pre-HIV+	BP	The chemical reactions and pathways resulting in the formation of threonine (2-amino-3-hydroxybutyric acid), a polar, uncharged, essential amino acid found in peptide linkage in proteins.
s__Veillonella_sp._S13053_19	GO:0006044	N-acetylglucosamine metabolic process	138	75	-0.414	0.071	0.486	0.000448484616042633	Non-HIV-	BP	The chemical reactions and pathways involving N-acetylglucosamine. The D isomer is a common structural unit of glycoproteins in plants, bacteria and animals; it is often the terminal sugar of an oligosaccharide group of a glycoprotein.
s__Streptococcus_vestibularis	GO:0047473	D-alanine [D-alanyl carrier protein] ligase activity	132	69	0.384	-0.124	0.508	0.000463378963561523	Non-HIV+	MF	Catalysis of the ATP-dependent activation of D-alanine and its transfer as a thiol ester to the phosphopantheinyl prosthetic group of a D-alanyl carrier protein, according to the reaction: ATP + D-alanine + a [D-alaninyl carrier protein] = a D-alanyl-[D-alanyl carrier protein] + AMP + diphosphate.
s__Streptococcus_sp._HMSC034E03	GO:0000041	transition metal ion transport	140	75	0.151	-0.343	0.493	0.000470423810259302	Pre-HIV-	BP	The directed movement of transition metal ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore. A transition metal is an element whose atom has an incomplete d-subshell of extranuclear electrons, or which gives rise to a cation or cations with an incomplete d-subshell. Transition metals often have more than one valency state. Biologically relevant transition metals include vanadium, manganese, iron, copper, cobalt, nickel, molybdenum and silver.
s__Veillonella_nakazawae	GO:0031647	regulation of protein stability	134	68	-0.088	0.415	0.503	0.000473089302168495	Pre-HIV+	BP	Any process that affects the structure and integrity of a protein, altering the likelihood of its degradation or aggregation.
s__Veillonella_sp._S13053_19	GO:0000049	tRNA binding	138	75	-0.339	0.155	0.494	0.00048197342927514	Non-HIV-	MF	Interacting selectively and non-covalently with transfer RNA.
s__Haemophilus_parainfluenzae	GO:0045892	negative regulation of transcription, DNA-templated	143	77	-0.538	-0.1	0.438	0.000489386242683354	Non-HIV-	BP	Any process that stops, prevents, or reduces the frequency, rate or extent of cellular DNA-templated transcription.
s__Veillonella_dispar	GO:0042301	phosphate ion binding	139	75	-0.082	0.4	0.482	0.000519035464058959	Pre-HIV+	MF	Interacting selectively and non-covalently with phosphate.
s__Prevotella_vespertina	GO:0001000	bacterial-type RNA polymerase core enzyme binding	100	54	0.212	-0.367	0.579	0.000526217848155097	Pre-HIV-	MF	Interacting selectively and non-covalently with the bacterial-type RNA polymerase core enzyme, typically consisting of two alpha, one beta, one beta prime, and one omega subunit.
s__Haemophilus_parainfluenzae	GO:0006364	rRNA processing	143	77	-0.536	-0.1	0.436	0.000530374731411154	Non-HIV-	BP	Any process involved in the conversion of a primary ribosomal RNA (rRNA) transcript into one or more mature rRNA molecules.
s__Streptococcus_sp._F0442	GO:0003951	NAD+ kinase activity	140	78	-0.152	0.331	0.483	0.000531484549655792	Pre-HIV+	MF	Catalysis of the reaction: ATP + NAD(+) = ADP + 2 H(+) + NADP(+).
s__Veillonella_nakazawae	GO:0008311	double-stranded DNA 3'-5' exodeoxyribonuclease activity	137	75	0.148	-0.343	0.491	0.000531841766481689	Pre-HIV-	MF	Catalysis of the sequential cleavage of mononucleotides from a free 3' terminus of a double-stranded DNA molecule.
s__Actinomyces_sp._ICM58	GO:0005542	folic acid binding	124	64	0.318	-0.21	0.528	0.000546718375694644	Non-HIV+	MF	Interacting selectively and non-covalently with folic acid, pteroylglutamic acid. Folic acid is widely distributed as a member of the vitamin B complex and is essential for the synthesis of purine and pyrimidines.
s__Streptococcus_vestibularis	GO:0009316	3-isopropylmalate dehydratase complex	143	78	0.369	-0.105	0.474	0.000576811503598229	Non-HIV+	CC	A heterodimeric enzyme complex composed of subunits leuC and leuD. Catalyzes the isomerization between 2-isopropylmalate and 3-isopropylmalate, via the formation of 2-isopropylmaleate.
s__Veillonella_dispar	GO:0006824	cobalt ion transport	137	75	-0.328	0.161	0.489	0.000578911888290179	Non-HIV-	BP	The directed movement of cobalt (Co) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.
s__Streptococcus_sp._XMC	GO:0019941	modification-dependent protein catabolic process	129	69	-0.186	0.323	0.509	0.000580043190527402	Pre-HIV+	BP	The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds, initiated by the covalent modification of the target protein.
s__Streptococcus_sp._XMC	GO:0010498	proteasomal protein catabolic process	129	69	-0.186	0.323	0.509	0.000580577438030527	Pre-HIV+	BP	The chemical reactions and pathways resulting in the breakdown of a protein or peptide by hydrolysis of its peptide bonds that is mediated by the proteasome.
s__Candidatus_Nanosynbacter_sp._TM7_053	GO:0008935	1,4-dihydroxy-2-naphthoyl-CoA synthase activity	93	51	0.301	-0.292	0.593	0.000623111577780833	Non-HIV+	MF	Catalysis of the reaction: 4-(2-carboxyphenyl)-4-oxobutanoyl-CoA = 1,4-dihydroxy-2-napthoyl-CoA + H2O.
s__Veillonella_sp._S13053_19	GO:0004156	dihydropteroate synthase activity	138	75	-0.311	0.175	0.486	0.000637841060688871	Non-HIV-	MF	Catalysis of the reaction: 2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate + 4-aminobenzoate = diphosphate + dihydropteroate.
s__Granulicatella_adiacens	GO:0140658	none	140	75	0.176	-0.309	0.484	0.000643711956555437	Pre-HIV-	none	none
s__Streptococcus_sp._HMSC074B11	GO:0008667	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase activity	127	68	0.051	0.518	0.466	0.000654905876573242	Pre-HIV+	MF	Catalysis of the reaction: (2S,3S)-2,3-dihydroxy-2,3-dihydrobenzoate + NAD(+) = 2,3-dihydroxybenzoate + H(+) + NADH.
s__Haemophilus_parainfluenzae	GO:0006241	CTP biosynthetic process	143	77	-0.367	0.103	0.471	0.000667854548841218	Non-HIV-	BP	The chemical reactions and pathways resulting in the formation of CTP, cytidine 5'-triphosphate.
s__Streptococcus_sp._HMSC034E03	GO:0006116	NADH oxidation	124	65	-0.365	0.148	0.513	0.000670850665692724	Non-HIV-	BP	A metabolic process that results in the oxidation of reduced nicotinamide adenine dinucleotide, NADH, to the oxidized form, NAD.
s__Streptococcus_sp._HMSC034E03	GO:0003954	NADH dehydrogenase activity	124	65	-0.365	0.148	0.513	0.000670850665694056	Non-HIV-	MF	Catalysis of the reaction: NADH + H+ + acceptor = NAD+ + reduced acceptor.
s__Prevotella_sp._oral_taxon_306	GO:0070628	proteasome binding	94	59	0.247	-0.314	0.561	0.00067149270738498	Pre-HIV-	MF	Interacting selectively and non-covalently with a proteasome, a large multisubunit protein complex that catalyzes protein degradation.
s__Streptococcus_vestibularis	GO:0008108	UDP-glucose:hexose-1-phosphate uridylyltransferase activity	141	78	0.356	-0.115	0.471	0.000675632111802216	Non-HIV+	MF	Catalysis of the reaction: alpha-D-galactose 1-phosphate + UDP-D-glucose = alpha-D-glucose 1-phosphate + UDP-D-galactose.
s__Streptococcus_sp._M334	GO:0004601	peroxidase activity	142	77	0.086	-0.383	0.468	0.00068073444534944	Pre-HIV-	MF	Catalysis of the reaction: donor + hydrogen peroxide = oxidized donor + 2 H2O.
s__Streptococcus_sp._HMSC074B11	GO:0019290	siderophore biosynthetic process	129	68	-0.017	0.463	0.48	0.000689671591825425	Pre-HIV+	BP	The chemical reactions and pathways resulting in the formation of siderophores, low molecular weight Fe(III)-chelating substances made by aerobic or facultatively anaerobic bacteria, especially when growing under iron deficient conditions. The complexes of Fe(3+)-siderophores have very high stability constants and are taken up by specific transport systems by microorganisms; the subsequent release of iron requires enzymatic action.
s__Streptococcus_sp._HMSC067H01	GO:0006824	cobalt ion transport	137	76	0.153	-0.326	0.479	0.000714433016528071	Pre-HIV-	BP	The directed movement of cobalt (Co) ions into, out of or within a cell, or between cells, by means of some agent such as a transporter or pore.
s__Veillonella_nakazawae	GO:0042597	periplasmic space	138	75	-0.168	-0.579	0.412	0.000746155663294612	Pre-HIV-	CC	The region between the inner (cytoplasmic) and outer membrane (Gram-negative Bacteria) or cytoplasmic membrane and cell wall (Fungi and Gram-positive Bacteria).
s__Veillonella_rogosae	GO:0000287	magnesium ion binding	139	78	-0.342	0.128	0.47	0.00074710255262489	Non-HIV-	MF	Interacting selectively and non-covalently with magnesium (Mg) ions.
s__Streptococcus_oralis	GO:1901135	carbohydrate derivative metabolic process	145	78	0.358	-0.106	0.464	0.000752209204015974	Non-HIV+	BP	The chemical reactions and pathways involving carbohydrate derivative.
s__Haemophilus_parainfluenzae	GO:0004588	orotate phosphoribosyltransferase activity	143	77	-0.413	0.044	0.458	0.000755846963161222	Non-HIV-	MF	Catalysis of the reaction: orotidine 5'-phosphate + diphosphate = orotate + 5-phospho-alpha-D-ribose 1-diphosphate.
s__Gemella_morbillorum	GO:1902600	proton transmembrane transport	135	68	0.189	-0.308	0.497	0.000760119585825336	Pre-HIV-	BP	The directed movement of a proton across a membrane.
s__Prevotella_sp._oral_taxon_306	GO:0008312	7S RNA binding	103	65	0.208	-0.32	0.528	0.000780493856834985	Pre-HIV-	MF	Interacting selectively and non-covalently with 7S RNA, the RNA component of the signal recognition particle (SRP).
s__Veillonella_dispar	GO:0016410	N-acyltransferase activity	141	77	0.077	-0.385	0.462	0.000797603095954669	Pre-HIV-	MF	Catalysis of the transfer of an acyl group to a nitrogen atom on the acceptor molecule.
s__Prevotella_sp._oral_taxon_306	GO:0031386	protein tag	94	59	0.247	-0.306	0.553	0.000816273808326384	Pre-HIV-	MF	A molecular function exhibited by a protein that is covalently attached (AKA tagged or conjugated) to another protein where it acts as a marker, recognized by the cellular apparatus to target the tagged protein for some cellular process such as modification, sequestration, transport or degradation.
s__Prevotella_sp._oral_taxon_306	GO:0070490	protein pupylation	94	59	0.247	-0.306	0.553	0.000816273808326828	Pre-HIV-	BP	The process in which a Pup protein is conjugated to a target protein via an isopeptide bond between the carboxyl terminus of Pup and the epsilon-amino group of a lysine residue of the target protein.
s__Haemophilus_parainfluenzae	GO:0006474	N-terminal protein amino acid acetylation	143	77	-0.382	0.079	0.46	0.000818065659771161	Non-HIV-	BP	The acetylation of the N-terminal amino acid of proteins.
s__Haemophilus_parainfluenzae	GO:0004731	purine-nucleoside phosphorylase activity	143	77	-0.438	0.01	0.448	0.000838823106235731	Non-HIV-	MF	Catalysis of the reaction: purine nucleoside + phosphate = purine + alpha-D-ribose 1-phosphate.
s__Actinomyces_sp._ICM58	GO:0071805	potassium ion transmembrane transport	131	66	-0.158	0.34	0.498	0.000841162137356299	Pre-HIV+	BP	A process in which a potassium ion is transported from one side of a membrane to the other.
s__Veillonella_sp._CLA_AA_H247	GO:0015424	amino acid-transporting ATPase activity	134	73	-0.104	0.372	0.475	0.000841619169156038	Pre-HIV+	MF	Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: ATP + H2O + amino acid(out/in) = ADP + phosphate + amino acid(in/out).
s__Veillonella_dispar	GO:0019632	shikimate metabolic process	142	74	-0.323	0.151	0.474	0.000843008563614855	Non-HIV-	BP	The chemical reactions and pathways involving shikimate, (3R,4S,5R)--3,4,5-trihydroxycyclohex-1-ene-1-carboxylate, the anion of shikimic acid. It is an important intermediate in the biosynthesis of aromatic amino acids.
s__Veillonella_sp._CLA_AA_H247	GO:0003333	amino acid transmembrane transport	134	73	-0.181	0.302	0.482	0.000846219387296898	Pre-HIV+	BP	The process in which an amino acid is transported across a membrane.
s__Streptococcus_vestibularis	GO:0050334	thiaminase activity	135	70	0.113	-0.368	0.481	0.000871413619952133	Pre-HIV-	MF	Catalysis of the reaction: H(2)O + thiamine = 4-amino-5-hydroxymethyl-2-methylpyrimidine + 5-(2-hydroxyethyl)-4-methylthiazole + H(+).
s__Gemella_sanguinis	GO:0006091	generation of precursor metabolites and energy	108	58	-0.022	-0.519	0.498	0.000877860491695914	Pre-HIV-	BP	The chemical reactions and pathways resulting in the formation of precursor metabolites, substances from which energy is derived, and any process involved in the liberation of energy from these substances.
