Taxa,name,cooccurrence_Non-HIV,cooccurrence_Pre-HIV,cor_Non-HIV,cor_Pre-HIV,diff_cor,p,sign
s__Bacteroides_fragilis,s__Intestinimonas_massiliensis,151,80,0.074,0.425,0.351,0.00683481112524409,Pre-HIV+
s__Paratractidigestivibacter_faecalis,s__Terrisporobacter_mayombei,121,69,0.303,-0.103,0.405,0.00687007916754512,Non-HIV+
s__Bacteroides_xylanisolvens,s__Phascolarctobacterium_succinatutens,120,68,0.122,0.493,0.371,0.00689142843611168,Pre-HIV+
s__Clostridium_sp._BIOML_A1,s__Kineothrix_sp._MSJ_39,135,73,0.079,0.445,0.366,0.00695684627054272,Pre-HIV+
s__Bacteriophage_sp.,s__Bacteroides_stercoris,119,60,0.054,0.455,0.4,0.00698983362838712,Pre-HIV+
s__Intestinimonas_sp._MSJ_38,s__Simiaoa_sunii,147,81,0.083,0.432,0.349,0.00700624601532707,Pre-HIV+
s__Blautia_wexlerae,s__Simiaoa_sunii,148,81,-0.206,-0.528,0.322,0.00703453065992754,Pre-HIV-
s__Blautia_ammoniilytica,s__Faecalibacterium_prausnitzii,150,82,-0.15,-0.483,0.333,0.00704996674875469,Pre-HIV-
s__Dorea_sp._AF36_15AT,s__Dorea_sp._NSJ_36,143,74,0.1,0.455,0.356,0.00723133572368262,Pre-HIV+
s__Faecalibacillus_intestinalis,s__Prevotella_hominis,113,69,-0.32,0.086,0.406,0.00727286749028755,Non-HIV-
s__Bacteroides_thetaiotaomicron,s__Prevotella_sp._Marseille_P4119,113,64,0.096,0.481,0.385,0.00730124553597133,Pre-HIV+
s__Clostridium_sp._AF15_41,s__Clostridium_sp._AM49_4BH,113,61,-0.122,0.302,0.424,0.0074097730079743,Pre-HIV+
s__Bifidobacterium_adolescentis,s__Catenibacterium_mitsuokai,102,63,-0.116,0.311,0.427,0.00744360060505866,Pre-HIV+
s__Klebsiella_pneumoniae,s__Mediterraneibacter_faecis,151,81,-0.152,-0.483,0.331,0.00755735814654424,Pre-HIV-
s__Dorea_sp._AM13_35,s__Dorea_sp._AM58_8,129,71,0.213,0.55,0.337,0.0075833318867673,Pre-HIV+
s__Holdemanella_biformis,s__Klebsiella_pneumoniae,150,80,0.016,-0.344,0.361,0.00762097998203659,Pre-HIV-
s__Parolsenella_catena,s__Roseburia_inulinivorans,128,79,0.023,-0.349,0.372,0.00768588812239956,Pre-HIV-
s__Catenibacterium_mitsuokai,s__Ruminococcus_sp._M6_2020,139,79,0.057,-0.313,0.37,0.0078323079010294,Pre-HIV-
s__Dorea_sp._AF24_7LB,s__Olsenella_uli,142,76,-0.042,0.329,0.371,0.00788968381237476,Pre-HIV+
s__Holdemanella_porci,s__Ruminococcus_callidus,138,80,0.06,-0.309,0.369,0.00790014306909947,Pre-HIV-
s__Holdemanella_sp._MSK_7_32,s__Phascolarctobacterium_succinatutens,116,69,0.056,-0.341,0.397,0.00790856344725888,Pre-HIV-
s__Holdemanella_sp._MSK_7_32,s__Prevotella_copri,131,79,0.058,-0.315,0.373,0.00796360656196771,Pre-HIV-
s__Blautia_schinkii,s__Parabacteroides_merdae,146,79,0.056,-0.309,0.366,0.00806179520789763,Pre-HIV-
s__Blautia_stercoris,s__Butyricicoccus_faecihominis,149,82,0.325,-0.033,0.358,0.00808127141732906,Non-HIV+
s__Anaerostipes_hadrus,s__Brotolimicola_acetigignens,146,78,0.008,-0.354,0.361,0.00810658058853875,Pre-HIV-
s__Clostridium_sp._BIOML_A1,s__Collinsella_aerofaciens,136,73,0.041,-0.336,0.377,0.00821499768011114,Pre-HIV-
s__Blautia_sp._MCC270,s__Dorea_sp._AF36_15AT,145,80,-0.012,0.347,0.359,0.00822082826844461,Pre-HIV+
s__Bacteroides_stercoris,s__Ruminococcus_sp._NSJ_71,134,67,-0.049,0.34,0.389,0.00824762270876866,Pre-HIV+
s__Blautia_obeum,s__Escherichia_coli,150,80,0.038,-0.319,0.358,0.00867535924733476,Pre-HIV-
s__Bacteroides_caccae,s__Klebsiella_pneumoniae,145,75,0.117,0.459,0.342,0.00878310771177371,Pre-HIV+
s__Holdemanella_porci,s__Mitsuokella_jalaludinii,124,73,-0.026,-0.396,0.371,0.00879794359047992,Pre-HIV-
s__Desulfovibrio_piger,s__Phocaeicola_vulgatus,125,70,-0.063,0.323,0.386,0.00880511934242745,Pre-HIV+
s__Blautia_hansenii,s__Collinsella_sp._AM34_10,135,77,-0.028,0.339,0.366,0.00882409767305692,Pre-HIV+
s__Intestinimonas_sp._MSJ_38,s__Olsenella_uli,143,80,0.33,-0.028,0.358,0.0088968429920937,Non-HIV+
s__Holdemanella_biformis,s__Ruminococcus_sp._M6_2020,150,80,-0.123,-0.455,0.332,0.00895683108517464,Pre-HIV-
s__Blautia_hansenii,s__Dorea_sp._AF36_15AT,150,80,0.306,-0.051,0.357,0.00898896947994654,Non-HIV+
s__Parabacteroides_merdae,s__Prevotella_sp._P5_64,80,52,-0.155,0.311,0.465,0.0090378864783438,Pre-HIV+
s__Phascolarctobacterium_sp._Marseille_Q4147,s__Phocaeicola_vulgatus,119,68,0.007,0.389,0.383,0.00906526509584071,Pre-HIV+
s__Mitsuokella_jalaludinii,s__Ruminococcus_callidus,130,73,0.114,0.465,0.35,0.00908219481369055,Pre-HIV+
s__Dorea_sp._NSJ_36,s__Megasphaera_elsdenii,117,66,0.068,-0.328,0.396,0.00916370821662782,Pre-HIV-
s__Bifidobacterium_longum,s__Ruminococcus_callidus,139,79,0.026,-0.334,0.36,0.00918777088657508,Pre-HIV-
s__Anaerostipes_hadrus,s__Waltera_sp._CLA_AA_H273,146,80,0.032,-0.324,0.356,0.00924291130289467,Pre-HIV-
s__Blautia_faecis,s__Dorea_sp._AF36_15AT,150,80,-0.046,0.31,0.356,0.00925236461804868,Pre-HIV+
s__Oliverpabstia_intestinalis,s__Oscillibacter_sp._ER4,147,81,-0.158,-0.481,0.323,0.00936251712867464,Pre-HIV-
s__Blautia_faecicola,s__Mediterraneibacter_glycyrrhizinilyticus,151,82,0.028,-0.322,0.35,0.00937014058205055,Pre-HIV-
s__Alistipes_shahii,s__Mediterraneibacter_faecis,121,56,-0.073,-0.464,0.391,0.00938053460201549,Pre-HIV-
s__Ruminococcus_sp._210702_SL_1_03,s__Suilimivivens_aceti,141,80,0.146,0.475,0.329,0.0094058813818616,Pre-HIV+
s__Coprococcus_catus,s__Parabacteroides_distasonis,150,78,0.043,-0.314,0.357,0.00948828813415936,Pre-HIV-
s__Oscillibacter_sp._ER4,s__Waltera_intestinalis,144,77,0.144,0.475,0.332,0.00951357054237545,Pre-HIV+
s__Collinsella_aerofaciens,s__Simiaoa_sunii,148,81,-0.22,-0.529,0.308,0.00951935817316851,Pre-HIV-
s__Anaerostipes_hadrus,s__Catenibacterium_mitsuokai,139,79,-0.375,-0.023,0.352,0.0095910234609724,Non-HIV-
s__Brotomerdimonas_butyrica,s__Dorea_sp._AM58_8,149,81,0.153,0.475,0.322,0.0098163575207364,Pre-HIV+
s__Anaerobutyricum_hallii,s__Cyclospora_cayetanensis,151,82,-0.218,-0.523,0.305,0.00996840200653626,Pre-HIV-
s__Negativibacillus_massiliensis,s__Parabacteroides_merdae,132,76,-0.021,0.342,0.363,0.00997623123329849,Pre-HIV+
s__Blautia_stercoris,s__Paratractidigestivibacter_faecalis,131,74,-0.307,0.064,0.371,0.00997938213295524,Non-HIV-
